day_of_week,count,mean,std,min,median,max,missing_pct
Friday,16272,361.26,134.82,21.0,371.0,944.0,0.0
Monday,16272,358.43,137.19,20.0,370.0,981.0,0.0
Saturday,16272,356.05,135.82,24.0,364.0,875.0,0.0
Sunday,16272,350.57,133.31,23.0,359.0,889.0,0.0
Thursday,16272,362.25,136.46,24.0,373.0,963.0,0.0
Tuesday,16272,357.66,136.33,23.0,370.0,880.0,0.0
Wednesday,16272,362.48,134.75,25.0,373.0,870.0,0.0
