model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
lightgbm_mitigated,12,zone,US-MIDA-PJM,2184,31.7038,41.191,-0.2303,-23.0%,True
lightgbm_mitigated,12,zone,US-NW-PACW,2184,50.6783,41.191,0.2303,+23.0%,True
lightgbm_mitigated,12,season,Fall,2928,42.0801,41.191,0.0216,+2.2%,False
lightgbm_mitigated,12,season,Winter,1440,39.3834,41.191,-0.0439,-4.4%,False
lightgbm_mitigated,12,carbon_bucket,High (350-500),1681,34.7029,41.191,-0.1575,-15.8%,False
lightgbm_mitigated,12,carbon_bucket,Low (100-200),476,51.8056,41.191,0.2577,+25.8%,True
lightgbm_mitigated,12,carbon_bucket,Medium (200-350),1909,45.3341,41.191,0.1006,+10.1%,False
lightgbm_mitigated,12,carbon_bucket,Very High (500+),267,31.1885,41.191,-0.2428,-24.3%,True
lightgbm_mitigated,12,carbon_bucket,Very Low (0-100),35,58.7804,41.191,0.427,+42.7%,True
lightgbm_mitigated,12,weather_condition,Cold (< 5C),996,34.5916,41.191,-0.1602,-16.0%,False
lightgbm_mitigated,12,weather_condition,Mild (5-20C),3251,43.4163,41.191,0.054,+5.4%,False
lightgbm_mitigated,12,weather_condition,Hot (>= 20C),121,35.7261,41.191,-0.1327,-13.3%,False
lightgbm_mitigated,12,weather_condition,Windy (>= 10 m/s),3428,40.2529,41.191,-0.0228,-2.3%,False
lightgbm_mitigated,12,weather_condition,Calm (< 10 m/s),940,44.6123,41.191,0.0831,+8.3%,False
lightgbm_mitigated,12,weather_condition,Overcast (>= 75%),2592,43.0749,41.191,0.0457,+4.6%,False
lightgbm_mitigated,12,weather_condition,Clear (< 25%),1147,36.7706,41.191,-0.1073,-10.7%,False
