model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
xgboost_mitigated,12,overall,all,4368,40.4833,52.9199,0.7562,14.8077
xgboost_mitigated,12,zone,US-MIDA-PJM,2184,29.8885,37.6699,0.7306,7.3189
xgboost_mitigated,12,zone,US-NW-PACW,2184,51.0781,64.6685,0.4368,22.2964
xgboost_mitigated,12,season,Fall,2928,41.2213,54.0505,0.6465,12.9092
xgboost_mitigated,12,season,Winter,1440,38.9826,50.5431,0.8548,18.6678
xgboost_mitigated,12,carbon_bucket,High (350-500),1681,32.8547,42.5736,0.753,8.9239
xgboost_mitigated,12,carbon_bucket,Low (100-200),476,51.8206,65.1115,0.4045,29.2508
xgboost_mitigated,12,carbon_bucket,Medium (200-350),1909,45.3627,58.6674,0.6382,16.6669
xgboost_mitigated,12,carbon_bucket,Very High (500+),267,30.5624,38.8744,0.7788,7.2527
xgboost_mitigated,12,carbon_bucket,Very Low (0-100),35,62.2274,74.411,-0.0852,57.1932
xgboost_mitigated,12,weather_condition,Cold (< 5C),996,33.0738,43.7649,0.8486,11.5456
xgboost_mitigated,12,weather_condition,Mild (5-20C),3251,42.941,55.7108,0.6988,16.0182
xgboost_mitigated,12,weather_condition,Hot (>= 20C),121,35.4392,44.0551,0.7192,9.1355
xgboost_mitigated,12,weather_condition,Windy (>= 10 m/s),3428,39.3766,51.5008,0.7734,14.5553
xgboost_mitigated,12,weather_condition,Calm (< 10 m/s),940,44.519,57.8008,0.6781,15.7279
xgboost_mitigated,12,weather_condition,Overcast (>= 75%),2592,42.7266,55.7372,0.7473,16.5083
xgboost_mitigated,12,weather_condition,Clear (< 25%),1147,35.5603,46.3531,0.7101,10.2529
