model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
lightgbm,1,zone,US-MIDA-PJM,2184,22.2781,27.4451,-0.1883,-18.8%,False
lightgbm,1,zone,US-NW-PACW,2184,32.6121,27.4451,0.1883,+18.8%,False
lightgbm,1,season,Fall,2928,27.8517,27.4451,0.0148,+1.5%,False
lightgbm,1,season,Winter,1440,26.6183,27.4451,-0.0301,-3.0%,False
lightgbm,1,carbon_bucket,High (350-500),1681,27.0371,27.4451,-0.0149,-1.5%,False
lightgbm,1,carbon_bucket,Low (100-200),476,27.4115,27.4451,-0.0012,-0.1%,False
lightgbm,1,carbon_bucket,Medium (200-350),1909,29.489,27.4451,0.0745,+7.4%,False
lightgbm,1,carbon_bucket,Very High (500+),267,16.0995,27.4451,-0.4134,-41.3%,True
lightgbm,1,carbon_bucket,Very Low (0-100),35,22.5658,27.4451,-0.1778,-17.8%,False
lightgbm,1,weather_condition,Cold (< 5C),996,25.2484,27.4451,-0.08,-8.0%,False
lightgbm,1,weather_condition,Mild (5-20C),3251,28.169,27.4451,0.0264,+2.6%,False
lightgbm,1,weather_condition,Hot (>= 20C),121,26.0776,27.4451,-0.0498,-5.0%,False
lightgbm,1,weather_condition,Windy (>= 10 m/s),3428,26.918,27.4451,-0.0192,-1.9%,False
lightgbm,1,weather_condition,Calm (< 10 m/s),940,29.3671,27.4451,0.07,+7.0%,False
lightgbm,1,weather_condition,Overcast (>= 75%),2592,28.4062,27.4451,0.035,+3.5%,False
lightgbm,1,weather_condition,Clear (< 25%),1147,25.8066,27.4451,-0.0597,-6.0%,False
