model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
lightgbm_mitigated,6,overall,all,4368,37.0337,48.1522,0.7976,13.2949
lightgbm_mitigated,6,zone,US-MIDA-PJM,2184,29.5055,37.0888,0.7393,7.2696
lightgbm_mitigated,6,zone,US-NW-PACW,2184,44.5619,57.1111,0.561,19.3201
lightgbm_mitigated,6,season,Fall,2928,37.3955,49.0076,0.7087,11.8115
lightgbm_mitigated,6,season,Winter,1440,36.298,46.3642,0.8777,16.311
lightgbm_mitigated,6,carbon_bucket,High (350-500),1681,33.0091,42.77,0.732,8.8313
lightgbm_mitigated,6,carbon_bucket,Low (100-200),476,38.9712,50.4175,0.3904,21.9475
lightgbm_mitigated,6,carbon_bucket,Medium (200-350),1909,40.8723,52.8999,0.678,14.9231
lightgbm_mitigated,6,carbon_bucket,Very High (500+),267,28.1373,35.7568,0.8065,6.8208
lightgbm_mitigated,6,carbon_bucket,Very Low (0-100),35,62.472,67.4637,-0.0924,70.5741
lightgbm_mitigated,6,weather_condition,Cold (< 5C),996,34.5119,44.8848,0.8304,11.4352
lightgbm_mitigated,6,weather_condition,Mild (5-20C),3251,37.9938,49.3731,0.762,14.0406
lightgbm_mitigated,6,weather_condition,Hot (>= 20C),121,31.9948,40.2699,0.7706,8.567
lightgbm_mitigated,6,weather_condition,Windy (>= 10 m/s),3428,36.1174,47.0543,0.8116,12.8971
lightgbm_mitigated,6,weather_condition,Calm (< 10 m/s),940,40.3754,51.9596,0.7174,14.7454
lightgbm_mitigated,6,weather_condition,Overcast (>= 75%),2592,39.3387,51.4035,0.7721,14.8437
lightgbm_mitigated,6,weather_condition,Clear (< 25%),1147,33.583,42.5284,0.7896,9.7149
