model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
lightgbm_mitigated,1,overall,all,4368,27.0666,35.0551,0.8925,9.3272
lightgbm_mitigated,1,zone,US-MIDA-PJM,2184,22.6019,28.762,0.8431,5.6412
lightgbm_mitigated,1,zone,US-NW-PACW,2184,31.5312,40.3791,0.7805,13.0132
lightgbm_mitigated,1,season,Fall,2928,27.5694,35.77,0.8448,8.7766
lightgbm_mitigated,1,season,Winter,1440,26.0441,33.5545,0.9357,10.4467
lightgbm_mitigated,1,carbon_bucket,High (350-500),1681,26.1515,33.9604,0.7908,6.7226
lightgbm_mitigated,1,carbon_bucket,Low (100-200),476,26.648,34.5135,0.4866,14.9911
lightgbm_mitigated,1,carbon_bucket,Medium (200-350),1909,28.8657,37.1095,0.7892,10.5231
lightgbm_mitigated,1,carbon_bucket,Very High (500+),267,21.1893,26.9566,0.8368,4.8288
lightgbm_mitigated,1,carbon_bucket,Very Low (0-100),35,23.4108,33.3927,0.1241,26.4829
lightgbm_mitigated,1,weather_condition,Cold (< 5C),996,24.5149,31.9518,0.9155,7.3321
lightgbm_mitigated,1,weather_condition,Mild (5-20C),3251,27.8298,35.9387,0.8732,9.9901
lightgbm_mitigated,1,weather_condition,Hot (>= 20C),121,27.5634,35.4279,0.8139,7.9403
lightgbm_mitigated,1,weather_condition,Windy (>= 10 m/s),3428,26.6185,34.543,0.8989,9.1261
lightgbm_mitigated,1,weather_condition,Calm (< 10 m/s),940,28.7005,36.8625,0.8589,10.0608
lightgbm_mitigated,1,weather_condition,Overcast (>= 75%),2592,27.9401,36.3787,0.8873,9.9747
lightgbm_mitigated,1,weather_condition,Clear (< 25%),1147,25.7182,32.984,0.8813,7.7468
