slice_type,slice_value,mae_before,r2_before,mae_after,r2_after,mae_improvement,mae_improvement_pct,model,horizon
overall,all,25.143,0.9032,26.4395,0.8964,-1.2964999999999982,-5.16,xgboost,1
zone,US-MIDA-PJM,18.4263,0.894,21.3036,0.8599,-2.877299999999998,-15.62,xgboost,1
zone,US-NW-PACW,31.8597,0.7774,31.5755,0.7806,0.28419999999999845,0.89,xgboost,1
season,Fall,25.3636,0.8615,26.7098,0.8524,-1.3461999999999996,-5.31,xgboost,1
season,Winter,24.6943,0.9409,25.8901,0.9362,-1.195800000000002,-4.84,xgboost,1
carbon_bucket,High (350-500),22.8805,0.8285,25.1576,0.8037,-2.2770999999999972,-9.95,xgboost,1
carbon_bucket,Low (100-200),26.8756,0.4936,27.1948,0.4881,-0.31920000000000215,-1.19,xgboost,1
carbon_bucket,Medium (200-350),27.5858,0.8006,28.238,0.7951,-0.6522000000000006,-2.36,xgboost,1
carbon_bucket,Very High (500+),18.2916,0.8755,20.1856,0.8442,-1.894000000000002,-10.35,xgboost,1
carbon_bucket,Very Low (0-100),29.2731,-0.072,27.3586,-0.0344,1.9145000000000003,6.54,xgboost,1
weather_condition,Cold (< 5C),22.2687,0.9268,23.6394,0.9189,-1.3706999999999994,-6.16,xgboost,1
weather_condition,Mild (5-20C),26.0897,0.8842,27.3114,0.8774,-1.2216999999999985,-4.68,xgboost,1
weather_condition,Hot (>= 20C),23.3666,0.8572,26.0624,0.8325,-2.695800000000002,-11.54,xgboost,1
weather_condition,Windy (>= 10 m/s),24.4632,0.9112,25.9328,0.9031,-1.4695999999999998,-6.01,xgboost,1
weather_condition,Calm (< 10 m/s),27.6221,0.8632,28.2875,0.8618,-0.6654000000000018,-2.41,xgboost,1
weather_condition,Overcast (>= 75%),26.5127,0.8948,27.3218,0.8907,-0.8091000000000008,-3.05,xgboost,1
weather_condition,Clear (< 25%),22.5679,0.9033,24.8359,0.8882,-2.267999999999997,-10.05,xgboost,1
