model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
lightgbm,24,zone,US-MIDA-PJM,2184,28.8041,43.7627,-0.3418,-34.2%,True
lightgbm,24,zone,US-NW-PACW,2184,58.7214,43.7627,0.3418,+34.2%,True
lightgbm,24,season,Fall,2928,44.9129,43.7627,0.0263,+2.6%,False
lightgbm,24,season,Winter,1440,41.424,43.7627,-0.0534,-5.3%,False
lightgbm,24,carbon_bucket,High (350-500),1681,36.0577,43.7627,-0.1761,-17.6%,False
lightgbm,24,carbon_bucket,Low (100-200),476,52.8188,43.7627,0.2069,+20.7%,True
lightgbm,24,carbon_bucket,Medium (200-350),1909,49.9388,43.7627,0.1411,+14.1%,False
lightgbm,24,carbon_bucket,Very High (500+),267,30.5595,43.7627,-0.3017,-30.2%,True
lightgbm,24,carbon_bucket,Very Low (0-100),35,54.524,43.7627,0.2459,+24.6%,True
lightgbm,24,weather_condition,Cold (< 5C),996,34.394,43.7627,-0.2141,-21.4%,True
lightgbm,24,weather_condition,Mild (5-20C),3251,46.8456,43.7627,0.0704,+7.0%,False
lightgbm,24,weather_condition,Hot (>= 20C),121,38.0498,43.7627,-0.1305,-13.1%,False
lightgbm,24,weather_condition,Windy (>= 10 m/s),3428,42.2577,43.7627,-0.0344,-3.4%,False
lightgbm,24,weather_condition,Calm (< 10 m/s),940,49.2511,43.7627,0.1254,+12.5%,False
lightgbm,24,weather_condition,Overcast (>= 75%),2592,48.406,43.7627,0.1061,+10.6%,False
lightgbm,24,weather_condition,Clear (< 25%),1147,34.0342,43.7627,-0.2223,-22.2%,True
