model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
xgboost_mitigated,1,overall,all,4368,26.4395,34.4097,0.8964,9.2543
xgboost_mitigated,1,zone,US-MIDA-PJM,2184,21.3036,27.183,0.8599,5.3052
xgboost_mitigated,1,zone,US-NW-PACW,2184,31.5755,40.3626,0.7806,13.2034
xgboost_mitigated,1,season,Fall,2928,26.7098,34.8796,0.8524,8.5417
xgboost_mitigated,1,season,Winter,1440,25.8901,33.4339,0.9362,10.7032
xgboost_mitigated,1,carbon_bucket,High (350-500),1681,25.1576,32.8996,0.8037,6.4963
xgboost_mitigated,1,carbon_bucket,Low (100-200),476,27.1948,34.4625,0.4881,15.6043
xgboost_mitigated,1,carbon_bucket,Medium (200-350),1909,28.238,36.5891,0.7951,10.3504
xgboost_mitigated,1,carbon_bucket,Very High (500+),267,20.1856,26.3386,0.8442,4.6115
xgboost_mitigated,1,carbon_bucket,Very Low (0-100),35,27.3586,36.2897,-0.0344,30.9941
xgboost_mitigated,1,weather_condition,Cold (< 5C),996,23.6394,31.3003,0.9189,7.277
xgboost_mitigated,1,weather_condition,Mild (5-20C),3251,27.3114,35.3363,0.8774,9.9231
xgboost_mitigated,1,weather_condition,Hot (>= 20C),121,26.0624,33.6063,0.8325,7.562
xgboost_mitigated,1,weather_condition,Windy (>= 10 m/s),3428,25.9328,33.8177,0.9031,9.012
xgboost_mitigated,1,weather_condition,Calm (< 10 m/s),940,28.2875,36.4872,0.8618,10.1381
xgboost_mitigated,1,weather_condition,Overcast (>= 75%),2592,27.3218,35.8209,0.8907,9.9294
xgboost_mitigated,1,weather_condition,Clear (< 25%),1147,24.8359,32.0118,0.8882,7.5389
