model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
xgboost,1,overall,all,4368,20.1889,28.4077,0.9294,7.726
xgboost,1,zone,US-MIDA-PJM,2184,10.964,14.3511,0.9609,2.7417
xgboost,1,zone,US-NW-PACW,2184,29.4138,37.5239,0.8104,12.7104
xgboost,1,season,Fall,2928,20.361,28.4042,0.9021,6.852
xgboost,1,season,Winter,1440,19.8391,28.4149,0.9539,9.5033
xgboost,1,carbon_bucket,High (350-500),1681,16.2852,23.9513,0.8959,4.3719
xgboost,1,carbon_bucket,Low (100-200),476,25.0408,31.7723,0.5649,14.6918
xgboost,1,carbon_bucket,Medium (200-350),1909,23.5382,31.9813,0.8435,9.0344
xgboost,1,carbon_bucket,Very High (500+),267,9.9788,14.3385,0.9538,2.2809
xgboost,1,carbon_bucket,Very Low (0-100),35,36.9053,45.5753,-0.6315,44.2616
xgboost,1,weather_condition,Cold (< 5C),996,14.6542,22.0564,0.9597,5.2642
xgboost,1,weather_condition,Mild (5-20C),3251,22.0931,30.3681,0.9095,8.6068
xgboost,1,weather_condition,Hot (>= 20C),121,14.5854,18.6929,0.9482,4.3262
xgboost,1,weather_condition,Windy (>= 10 m/s),3428,19.4904,27.6304,0.9353,7.4746
xgboost,1,weather_condition,Calm (< 10 m/s),940,22.7364,31.0781,0.8997,8.643
xgboost,1,weather_condition,Overcast (>= 75%),2592,22.0418,30.8301,0.919,8.77
xgboost,1,weather_condition,Clear (< 25%),1147,16.5188,23.3232,0.9407,5.3679
