model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
lightgbm,24,overall,all,4368,43.9668,58.0025,0.708,16.1967
lightgbm,24,zone,US-MIDA-PJM,2184,30.8623,39.4571,0.7038,7.4549
lightgbm,24,zone,US-NW-PACW,2184,57.0714,71.9148,0.3044,24.9385
lightgbm,24,season,Fall,2928,45.1525,60.14,0.5617,14.2972
lightgbm,24,season,Winter,1440,41.556,53.3932,0.839,20.0591
lightgbm,24,carbon_bucket,High (350-500),1681,38.2676,50.8756,0.5891,10.0469
lightgbm,24,carbon_bucket,Low (100-200),476,50.1721,62.8661,0.1156,32.6186
lightgbm,24,carbon_bucket,Medium (200-350),1909,49.236,64.4867,0.5368,18.5958
lightgbm,24,carbon_bucket,Very High (500+),267,30.2925,38.0608,0.7386,7.1447
lightgbm,24,carbon_bucket,Very Low (0-100),35,50.224,62.7044,-0.6335,26.4286
lightgbm,24,weather_condition,Cold (< 5C),996,36.5246,48.0449,0.8105,12.584
lightgbm,24,weather_condition,Mild (5-20C),3251,46.4838,60.9879,0.6383,17.4872
lightgbm,24,weather_condition,Hot (>= 20C),121,37.6013,50.1238,0.653,11.2619
lightgbm,24,weather_condition,Windy (>= 10 m/s),3428,42.5819,56.1552,0.7353,15.9468
lightgbm,24,weather_condition,Calm (< 10 m/s),940,49.0176,64.2913,0.5816,17.1082
lightgbm,24,weather_condition,Overcast (>= 75%),2592,48.5432,63.495,0.6673,18.2646
lightgbm,24,weather_condition,Clear (< 25%),1147,35.0243,45.6181,0.7649,10.6816
