model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
lightgbm,1,zone,US-MIDA-PJM,2184,12.7954,21.2708,-0.3985,-39.8%,True
lightgbm,1,zone,US-NW-PACW,2184,29.7462,21.2708,0.3985,+39.8%,True
lightgbm,1,season,Fall,2928,21.7198,21.2708,0.0211,+2.1%,False
lightgbm,1,season,Winter,1440,20.358,21.2708,-0.0429,-4.3%,False
lightgbm,1,carbon_bucket,High (350-500),1681,17.6794,21.2708,-0.1688,-16.9%,False
lightgbm,1,carbon_bucket,Low (100-200),476,24.4408,21.2708,0.149,+14.9%,False
lightgbm,1,carbon_bucket,Medium (200-350),1909,24.8932,21.2708,0.1703,+17.0%,False
lightgbm,1,carbon_bucket,Very High (500+),267,11.2042,21.2708,-0.4733,-47.3%,True
lightgbm,1,carbon_bucket,Very Low (0-100),35,29.8698,21.2708,0.4043,+40.4%,True
lightgbm,1,weather_condition,Cold (< 5C),996,16.6979,21.2708,-0.215,-21.5%,True
lightgbm,1,weather_condition,Mild (5-20C),3251,22.8749,21.2708,0.0754,+7.5%,False
lightgbm,1,weather_condition,Hot (>= 20C),121,15.8147,21.2708,-0.2565,-25.7%,True
lightgbm,1,weather_condition,Windy (>= 10 m/s),3428,20.7437,21.2708,-0.0248,-2.5%,False
lightgbm,1,weather_condition,Calm (< 10 m/s),940,23.1932,21.2708,0.0904,+9.0%,False
lightgbm,1,weather_condition,Overcast (>= 75%),2592,23.0456,21.2708,0.0834,+8.3%,False
lightgbm,1,weather_condition,Clear (< 25%),1147,17.7732,21.2708,-0.1644,-16.4%,False
