model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
xgboost,12,overall,all,4368,40.7964,53.8619,0.7474,14.9599
xgboost,12,zone,US-MIDA-PJM,2184,29.612,37.6428,0.731,7.1969
xgboost,12,zone,US-NW-PACW,2184,51.9809,66.221,0.4095,22.7229
xgboost,12,season,Fall,2928,41.1896,54.64,0.6388,12.793
xgboost,12,season,Winter,1440,39.997,52.2439,0.8448,19.366
xgboost,12,carbon_bucket,High (350-500),1681,33.3238,43.6941,0.7398,8.9742
xgboost,12,carbon_bucket,Low (100-200),476,53.9665,67.7864,0.3546,31.0027
xgboost,12,carbon_bucket,Medium (200-350),1909,45.5381,59.3682,0.6295,16.5386
xgboost,12,carbon_bucket,Very High (500+),267,27.232,35.2298,0.8183,6.4299
xgboost,12,carbon_bucket,Very Low (0-100),35,65.4318,78.4949,-0.2075,63.2264
xgboost,12,weather_condition,Cold (< 5C),996,34.4279,46.0866,0.8321,12.2192
xgboost,12,weather_condition,Mild (5-20C),3251,42.9744,56.3388,0.692,16.0181
xgboost,12,weather_condition,Hot (>= 20C),121,34.7,44.3162,0.7159,9.09
xgboost,12,weather_condition,Windy (>= 10 m/s),3428,39.6544,52.5131,0.7644,14.7496
xgboost,12,weather_condition,Calm (< 10 m/s),940,44.961,58.5179,0.6701,15.727
xgboost,12,weather_condition,Overcast (>= 75%),2592,43.3339,57.157,0.7343,16.7399
xgboost,12,weather_condition,Clear (< 25%),1147,35.0784,46.2321,0.7116,10.1246
