model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
lightgbm,12,overall,all,4368,35.805,48.7428,0.7931,14.0892
lightgbm,12,zone,US-MIDA-PJM,2184,20.7184,25.9099,0.8726,5.1337
lightgbm,12,zone,US-NW-PACW,2184,50.8916,63.8779,0.4505,23.0447
lightgbm,12,season,Fall,2928,35.5129,48.0663,0.7204,11.6947
lightgbm,12,season,Winter,1440,36.3989,50.09,0.8574,18.958
lightgbm,12,carbon_bucket,High (350-500),1681,25.0424,33.9554,0.8429,7.2025
lightgbm,12,carbon_bucket,Low (100-200),476,55.6924,68.9082,0.3331,32.453
lightgbm,12,carbon_bucket,Medium (200-350),1909,41.7746,54.94,0.6827,15.9269
lightgbm,12,carbon_bucket,Very High (500+),267,22.1541,28.1806,0.8838,5.4545
lightgbm,12,carbon_bucket,Very Low (0-100),35,60.7864,76.5734,-0.1491,60.7336
lightgbm,12,weather_condition,Cold (< 5C),996,26.3635,36.0925,0.897,10.034
lightgbm,12,weather_condition,Mild (5-20C),3251,39.0107,52.4003,0.7336,15.5721
lightgbm,12,weather_condition,Hot (>= 20C),121,27.3905,35.6417,0.8162,7.6277
lightgbm,12,weather_condition,Windy (>= 10 m/s),3428,34.465,47.3358,0.8086,13.8102
lightgbm,12,weather_condition,Calm (< 10 m/s),940,40.6916,53.5614,0.7236,15.1067
lightgbm,12,weather_condition,Overcast (>= 75%),2592,37.6433,51.2606,0.7863,15.6161
lightgbm,12,weather_condition,Clear (< 25%),1147,30.2568,40.9035,0.7743,9.3062
