model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
lightgbm,6,zone,US-MIDA-PJM,2184,26.0598,35.5831,-0.2676,-26.8%,True
lightgbm,6,zone,US-NW-PACW,2184,45.1064,35.5831,0.2676,+26.8%,True
lightgbm,6,season,Fall,2928,35.8322,35.5831,0.007,+0.7%,False
lightgbm,6,season,Winter,1440,35.0766,35.5831,-0.0142,-1.4%,False
lightgbm,6,carbon_bucket,High (350-500),1681,30.1335,35.5831,-0.1532,-15.3%,False
lightgbm,6,carbon_bucket,Low (100-200),476,40.3899,35.5831,0.1351,+13.5%,False
lightgbm,6,carbon_bucket,Medium (200-350),1909,39.9405,35.5831,0.1225,+12.2%,False
lightgbm,6,carbon_bucket,Very High (500+),267,26.841,35.5831,-0.2457,-24.6%,True
lightgbm,6,carbon_bucket,Very Low (0-100),35,60.9727,35.5831,0.7135,+71.4%,True
lightgbm,6,weather_condition,Cold (< 5C),996,32.2307,35.5831,-0.0942,-9.4%,False
lightgbm,6,weather_condition,Mild (5-20C),3251,36.8133,35.5831,0.0346,+3.5%,False
lightgbm,6,weather_condition,Hot (>= 20C),121,30.1261,35.5831,-0.1534,-15.3%,False
lightgbm,6,weather_condition,Windy (>= 10 m/s),3428,34.5885,35.5831,-0.028,-2.8%,False
lightgbm,6,weather_condition,Calm (< 10 m/s),940,39.2104,35.5831,0.1019,+10.2%,False
lightgbm,6,weather_condition,Overcast (>= 75%),2592,38.487,35.5831,0.0816,+8.2%,False
lightgbm,6,weather_condition,Clear (< 25%),1147,30.6424,35.5831,-0.1388,-13.9%,False
