model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
xgboost,12,overall,all,4368,35.6636,49.2989,0.7884,13.7321
xgboost,12,zone,US-MIDA-PJM,2184,20.5608,25.9353,0.8723,5.1069
xgboost,12,zone,US-NW-PACW,2184,50.7664,64.7157,0.436,22.3573
xgboost,12,season,Fall,2928,35.7362,49.2926,0.706,11.4963
xgboost,12,season,Winter,1440,35.5159,49.3117,0.8618,18.2783
xgboost,12,carbon_bucket,High (350-500),1681,24.9544,34.1492,0.8411,7.1537
xgboost,12,carbon_bucket,Low (100-200),476,51.9941,66.3785,0.3811,29.6616
xgboost,12,carbon_bucket,Medium (200-350),1909,42.7469,56.9625,0.6589,16.0177
xgboost,12,carbon_bucket,Very High (500+),267,20.0203,26.3583,0.8983,4.8949
xgboost,12,carbon_bucket,Very Low (0-100),35,60.9082,71.4315,0.0,55.7873
xgboost,12,weather_condition,Cold (< 5C),996,25.9341,35.8435,0.8984,10.1489
xgboost,12,weather_condition,Mild (5-20C),3251,38.9139,53.0552,0.7269,15.039
xgboost,12,weather_condition,Hot (>= 20C),121,28.421,39.1231,0.7786,8.112
xgboost,12,weather_condition,Windy (>= 10 m/s),3428,34.674,48.478,0.7992,13.6022
xgboost,12,weather_condition,Calm (< 10 m/s),940,39.2722,52.1834,0.7376,14.2059
xgboost,12,weather_condition,Overcast (>= 75%),2592,37.9516,51.9564,0.7804,15.3756
xgboost,12,weather_condition,Clear (< 25%),1147,29.6846,41.3272,0.7696,9.0576
