model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
lightgbm,1,overall,all,4368,21.2708,29.5472,0.9236,7.8637
lightgbm,1,zone,US-MIDA-PJM,2184,12.7954,16.75,0.9468,3.2092
lightgbm,1,zone,US-NW-PACW,2184,29.7462,38.282,0.8027,12.5183
lightgbm,1,season,Fall,2928,21.7198,30.1517,0.8897,7.1994
lightgbm,1,season,Winter,1440,20.358,28.2782,0.9544,9.2146
lightgbm,1,carbon_bucket,High (350-500),1681,17.6794,25.2346,0.8845,4.7005
lightgbm,1,carbon_bucket,Low (100-200),476,24.4408,31.2316,0.5796,14.0009
lightgbm,1,carbon_bucket,Medium (200-350),1909,24.8932,33.6532,0.8267,9.3797
lightgbm,1,carbon_bucket,Very High (500+),267,11.2042,15.4873,0.9461,2.5946
lightgbm,1,carbon_bucket,Very Low (0-100),35,29.8698,38.7832,-0.1815,33.8373
lightgbm,1,weather_condition,Cold (< 5C),996,16.6979,24.0971,0.952,5.7114
lightgbm,1,weather_condition,Mild (5-20C),3251,22.8749,31.2791,0.904,8.6437
lightgbm,1,weather_condition,Hot (>= 20C),121,15.8147,21.1937,0.9334,4.6243
lightgbm,1,weather_condition,Windy (>= 10 m/s),3428,20.7437,28.9262,0.9291,7.6685
lightgbm,1,weather_condition,Calm (< 10 m/s),940,23.1932,31.7091,0.8956,8.5759
lightgbm,1,weather_condition,Overcast (>= 75%),2592,23.0456,31.7413,0.9142,8.842
lightgbm,1,weather_condition,Clear (< 25%),1147,17.7732,24.9997,0.9318,5.6258
