model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
xgboost_mitigated,24,zone,US-MIDA-PJM,2184,30.6631,44.0063,-0.3032,-30.3%,True
xgboost_mitigated,24,zone,US-NW-PACW,2184,57.3495,44.0063,0.3032,+30.3%,True
xgboost_mitigated,24,season,Fall,2928,45.3703,44.0063,0.031,+3.1%,False
xgboost_mitigated,24,season,Winter,1440,41.2328,44.0063,-0.063,-6.3%,False
xgboost_mitigated,24,carbon_bucket,High (350-500),1681,37.3088,44.0063,-0.1522,-15.2%,False
xgboost_mitigated,24,carbon_bucket,Low (100-200),476,51.7008,44.0063,0.1748,+17.5%,False
xgboost_mitigated,24,carbon_bucket,Medium (200-350),1909,49.4833,44.0063,0.1245,+12.4%,False
xgboost_mitigated,24,carbon_bucket,Very High (500+),267,32.4913,44.0063,-0.2617,-26.2%,True
xgboost_mitigated,24,carbon_bucket,Very Low (0-100),35,50.1441,44.0063,0.1395,+13.9%,False
xgboost_mitigated,24,weather_condition,Cold (< 5C),996,35.5834,44.0063,-0.1914,-19.1%,False
xgboost_mitigated,24,weather_condition,Mild (5-20C),3251,46.7463,44.0063,0.0623,+6.2%,False
xgboost_mitigated,24,weather_condition,Hot (>= 20C),121,39.7215,44.0063,-0.0974,-9.7%,False
xgboost_mitigated,24,weather_condition,Windy (>= 10 m/s),3428,42.4526,44.0063,-0.0353,-3.5%,False
xgboost_mitigated,24,weather_condition,Calm (< 10 m/s),940,49.6725,44.0063,0.1288,+12.9%,False
xgboost_mitigated,24,weather_condition,Overcast (>= 75%),2592,47.9792,44.0063,0.0903,+9.0%,False
xgboost_mitigated,24,weather_condition,Clear (< 25%),1147,35.4236,44.0063,-0.195,-19.5%,False
