model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
lightgbm,12,zone,US-MIDA-PJM,2184,28.4578,40.0421,-0.2893,-28.9%,True
lightgbm,12,zone,US-NW-PACW,2184,51.6263,40.0421,0.2893,+28.9%,True
lightgbm,12,season,Fall,2928,40.7669,40.0421,0.0181,+1.8%,False
lightgbm,12,season,Winter,1440,38.5682,40.0421,-0.0368,-3.7%,False
lightgbm,12,carbon_bucket,High (350-500),1681,32.1396,40.0421,-0.1974,-19.7%,False
lightgbm,12,carbon_bucket,Low (100-200),476,53.0547,40.0421,0.325,+32.5%,True
lightgbm,12,carbon_bucket,Medium (200-350),1909,44.8991,40.0421,0.1213,+12.1%,False
lightgbm,12,carbon_bucket,Very High (500+),267,28.8251,40.0421,-0.2801,-28.0%,True
lightgbm,12,carbon_bucket,Very Low (0-100),35,63.2684,40.0421,0.58,+58.0%,True
lightgbm,12,weather_condition,Cold (< 5C),996,33.3491,40.0421,-0.1671,-16.7%,False
lightgbm,12,weather_condition,Mild (5-20C),3251,42.3574,40.0421,0.0578,+5.8%,False
lightgbm,12,weather_condition,Hot (>= 20C),121,32.9273,40.0421,-0.1777,-17.8%,False
lightgbm,12,weather_condition,Windy (>= 10 m/s),3428,38.8883,40.0421,-0.0288,-2.9%,False
lightgbm,12,weather_condition,Calm (< 10 m/s),940,44.2498,40.0421,0.1051,+10.5%,False
lightgbm,12,weather_condition,Overcast (>= 75%),2592,42.481,40.0421,0.0609,+6.1%,False
lightgbm,12,weather_condition,Clear (< 25%),1147,34.5102,40.0421,-0.1382,-13.8%,False
