model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
xgboost,24,zone,US-MIDA-PJM,2184,23.3516,39.9996,-0.4162,-41.6%,True
xgboost,24,zone,US-NW-PACW,2184,56.6476,39.9996,0.4162,+41.6%,True
xgboost,24,season,Fall,2928,39.2008,39.9996,-0.02,-2.0%,False
xgboost,24,season,Winter,1440,41.6239,39.9996,0.0406,+4.1%,False
xgboost,24,carbon_bucket,High (350-500),1681,30.5591,39.9996,-0.236,-23.6%,True
xgboost,24,carbon_bucket,Low (100-200),476,57.245,39.9996,0.4311,+43.1%,True
xgboost,24,carbon_bucket,Medium (200-350),1909,45.8529,39.9996,0.1463,+14.6%,False
xgboost,24,carbon_bucket,Very High (500+),267,26.1705,39.9996,-0.3457,-34.6%,True
xgboost,24,carbon_bucket,Very Low (0-100),35,45.1172,39.9996,0.1279,+12.8%,False
xgboost,24,weather_condition,Cold (< 5C),996,30.036,39.9996,-0.2491,-24.9%,True
xgboost,24,weather_condition,Mild (5-20C),3251,43.4105,39.9996,0.0853,+8.5%,False
xgboost,24,weather_condition,Hot (>= 20C),121,30.371,39.9996,-0.2407,-24.1%,True
xgboost,24,weather_condition,Windy (>= 10 m/s),3428,38.2063,39.9996,-0.0448,-4.5%,False
xgboost,24,weather_condition,Calm (< 10 m/s),940,46.5392,39.9996,0.1635,+16.3%,False
xgboost,24,weather_condition,Overcast (>= 75%),2592,44.097,39.9996,0.1024,+10.2%,False
xgboost,24,weather_condition,Clear (< 25%),1147,30.7544,39.9996,-0.2311,-23.1%,True
