model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
xgboost,12,overall,all,4368,39.9707,52.7289,0.7579,14.837
xgboost,12,zone,US-MIDA-PJM,2184,27.488,34.6884,0.7716,6.7376
xgboost,12,zone,US-NW-PACW,2184,52.4535,66.0106,0.4132,22.9364
xgboost,12,season,Fall,2928,40.3891,53.6271,0.652,12.6453
xgboost,12,season,Winter,1440,39.1201,50.8538,0.853,19.2935
xgboost,12,carbon_bucket,High (350-500),1681,31.3674,41.4029,0.7664,8.5367
xgboost,12,carbon_bucket,Low (100-200),476,55.0655,68.1229,0.3482,31.3929
xgboost,12,carbon_bucket,Medium (200-350),1909,44.8399,58.2463,0.6433,16.4787
xgboost,12,carbon_bucket,Very High (500+),267,28.7313,36.3534,0.8066,6.8855
xgboost,12,carbon_bucket,Very Low (0-100),35,68.0476,80.102,-0.2575,63.3875
xgboost,12,weather_condition,Cold (< 5C),996,31.6557,41.9813,0.8607,11.3206
xgboost,12,weather_condition,Mild (5-20C),3251,42.7967,55.9667,0.6961,16.1572
xgboost,12,weather_condition,Hot (>= 20C),121,32.4889,41.2761,0.7535,8.3123
xgboost,12,weather_condition,Windy (>= 10 m/s),3428,38.6389,51.2048,0.776,14.539
xgboost,12,weather_condition,Calm (< 10 m/s),940,44.8278,57.9485,0.6765,15.9236
xgboost,12,weather_condition,Overcast (>= 75%),2592,42.8643,56.2961,0.7422,16.8226
xgboost,12,weather_condition,Clear (< 25%),1147,33.4718,44.0645,0.738,9.6943
