model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
xgboost_mitigated,24,overall,all,4368,44.0063,57.9811,0.7082,16.592
xgboost_mitigated,24,zone,US-MIDA-PJM,2184,30.6631,39.2483,0.707,7.4416
xgboost_mitigated,24,zone,US-NW-PACW,2184,57.3495,71.9944,0.3029,25.7425
xgboost_mitigated,24,season,Fall,2928,45.3703,59.9871,0.5639,14.7582
xgboost_mitigated,24,season,Winter,1440,41.2328,53.6715,0.8373,20.3208
xgboost_mitigated,24,carbon_bucket,High (350-500),1681,37.3088,49.5258,0.6106,9.9598
xgboost_mitigated,24,carbon_bucket,Low (100-200),476,51.7008,64.4199,0.0713,33.9025
xgboost_mitigated,24,carbon_bucket,Medium (200-350),1909,49.4833,64.8076,0.5322,19.1346
xgboost_mitigated,24,carbon_bucket,Very High (500+),267,32.4913,40.5846,0.7028,7.7472
xgboost_mitigated,24,carbon_bucket,Very Low (0-100),35,50.1441,60.5243,-0.5219,28.4979
xgboost_mitigated,24,weather_condition,Cold (< 5C),996,35.5834,47.4785,0.815,12.6825
xgboost_mitigated,24,weather_condition,Mild (5-20C),3251,46.7463,60.9326,0.639,17.9586
xgboost_mitigated,24,weather_condition,Hot (>= 20C),121,39.7215,55.2171,0.5789,12.0566
xgboost_mitigated,24,weather_condition,Windy (>= 10 m/s),3428,42.4526,55.9103,0.7376,16.2199
xgboost_mitigated,24,weather_condition,Calm (< 10 m/s),940,49.6725,64.976,0.5726,17.9493
xgboost_mitigated,24,weather_condition,Overcast (>= 75%),2592,47.9792,62.44,0.6782,18.5243
xgboost_mitigated,24,weather_condition,Clear (< 25%),1147,35.4236,47.0065,0.7504,10.9564
