model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
xgboost,12,zone,US-MIDA-PJM,2184,20.2457,35.3729,-0.4276,-42.8%,True
xgboost,12,zone,US-NW-PACW,2184,50.5,35.3729,0.4276,+42.8%,True
xgboost,12,season,Fall,2928,35.5626,35.3729,0.0054,+0.5%,False
xgboost,12,season,Winter,1440,34.9871,35.3729,-0.0109,-1.1%,False
xgboost,12,carbon_bucket,High (350-500),1681,24.9822,35.3729,-0.2937,-29.4%,True
xgboost,12,carbon_bucket,Low (100-200),476,53.4879,35.3729,0.5121,+51.2%,True
xgboost,12,carbon_bucket,Medium (200-350),1909,41.6709,35.3729,0.178,+17.8%,False
xgboost,12,carbon_bucket,Very High (500+),267,20.7253,35.3729,-0.4141,-41.4%,True
xgboost,12,carbon_bucket,Very Low (0-100),35,56.2872,35.3729,0.5913,+59.1%,True
xgboost,12,weather_condition,Cold (< 5C),996,26.1522,35.3729,-0.2607,-26.1%,True
xgboost,12,weather_condition,Mild (5-20C),3251,38.4636,35.3729,0.0874,+8.7%,False
xgboost,12,weather_condition,Hot (>= 20C),121,28.2305,35.3729,-0.2019,-20.2%,True
xgboost,12,weather_condition,Windy (>= 10 m/s),3428,33.9363,35.3729,-0.0406,-4.1%,False
xgboost,12,weather_condition,Calm (< 10 m/s),940,40.6119,35.3729,0.1481,+14.8%,False
xgboost,12,weather_condition,Overcast (>= 75%),2592,37.616,35.3729,0.0634,+6.3%,False
xgboost,12,weather_condition,Clear (< 25%),1147,29.2705,35.3729,-0.1725,-17.3%,False
