model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
lightgbm,24,overall,all,4368,39.5454,53.4851,0.7517,15.5213
lightgbm,24,zone,US-MIDA-PJM,2184,24.0667,30.4948,0.8231,5.9075
lightgbm,24,zone,US-NW-PACW,2184,55.0241,69.2198,0.3556,25.1351
lightgbm,24,season,Fall,2928,39.174,53.0403,0.6591,12.7144
lightgbm,24,season,Winter,1440,40.3006,54.3784,0.833,21.2286
lightgbm,24,carbon_bucket,High (350-500),1681,30.8798,42.1914,0.7174,8.4707
lightgbm,24,carbon_bucket,Low (100-200),476,54.6544,67.9611,-0.0336,36.2187
lightgbm,24,carbon_bucket,Medium (200-350),1909,45.2201,60.0988,0.5977,17.6243
lightgbm,24,carbon_bucket,Very High (500+),267,25.3318,32.9701,0.8039,6.1935
lightgbm,24,carbon_bucket,Very Low (0-100),35,49.1722,58.3557,-0.4148,29.1167
lightgbm,24,weather_condition,Cold (< 5C),996,29.6294,40.2888,0.8668,11.091
lightgbm,24,weather_condition,Mild (5-20C),3251,42.8714,57.2232,0.6816,17.0971
lightgbm,24,weather_condition,Hot (>= 20C),121,31.8058,43.908,0.7337,9.6495
lightgbm,24,weather_condition,Windy (>= 10 m/s),3428,38.0811,51.7088,0.7756,15.2299
lightgbm,24,weather_condition,Calm (< 10 m/s),940,44.8855,59.5154,0.6414,16.5837
lightgbm,24,weather_condition,Overcast (>= 75%),2592,43.3122,57.8221,0.7241,17.4096
lightgbm,24,weather_condition,Clear (< 25%),1147,31.1954,41.5941,0.8046,9.8594
