model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
xgboost,12,overall,all,4368,35.3729,48.5921,0.7944,13.7983
xgboost,12,zone,US-MIDA-PJM,2184,20.2457,25.6622,0.875,5.0054
xgboost,12,zone,US-NW-PACW,2184,50.5,63.7483,0.4527,22.5912
xgboost,12,season,Fall,2928,35.5626,48.7925,0.7119,11.5286
xgboost,12,season,Winter,1440,34.9871,48.1822,0.868,18.4133
xgboost,12,carbon_bucket,High (350-500),1681,24.9822,34.2085,0.8405,7.2063
xgboost,12,carbon_bucket,Low (100-200),476,53.4879,67.5904,0.3583,31.5811
xgboost,12,carbon_bucket,Medium (200-350),1909,41.6709,55.1079,0.6807,15.6177
xgboost,12,carbon_bucket,Very High (500+),267,20.7253,27.713,0.8876,5.0634
xgboost,12,carbon_bucket,Very Low (0-100),35,56.2872,69.5913,0.0509,55.9592
xgboost,12,weather_condition,Cold (< 5C),996,26.1522,36.6703,0.8937,10.201
xgboost,12,weather_condition,Mild (5-20C),3251,38.4636,52.0723,0.7369,15.1227
xgboost,12,weather_condition,Hot (>= 20C),121,28.2305,36.2727,0.8097,7.8252
xgboost,12,weather_condition,Windy (>= 10 m/s),3428,33.9363,47.2281,0.8094,13.4794
xgboost,12,weather_condition,Calm (< 10 m/s),940,40.6119,53.2714,0.7266,14.9614
xgboost,12,weather_condition,Overcast (>= 75%),2592,37.616,51.489,0.7844,15.385
xgboost,12,weather_condition,Clear (< 25%),1147,29.2705,40.0117,0.784,8.9724
