model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
xgboost,12,zone,US-MIDA-PJM,2184,29.612,40.7964,-0.2742,-27.4%,True
xgboost,12,zone,US-NW-PACW,2184,51.9809,40.7964,0.2742,+27.4%,True
xgboost,12,season,Fall,2928,41.1896,40.7964,0.0096,+1.0%,False
xgboost,12,season,Winter,1440,39.997,40.7964,-0.0196,-2.0%,False
xgboost,12,carbon_bucket,High (350-500),1681,33.3238,40.7964,-0.1832,-18.3%,False
xgboost,12,carbon_bucket,Low (100-200),476,53.9665,40.7964,0.3228,+32.3%,True
xgboost,12,carbon_bucket,Medium (200-350),1909,45.5381,40.7964,0.1162,+11.6%,False
xgboost,12,carbon_bucket,Very High (500+),267,27.232,40.7964,-0.3325,-33.2%,True
xgboost,12,carbon_bucket,Very Low (0-100),35,65.4318,40.7964,0.6039,+60.4%,True
xgboost,12,weather_condition,Cold (< 5C),996,34.4279,40.7964,-0.1561,-15.6%,False
xgboost,12,weather_condition,Mild (5-20C),3251,42.9744,40.7964,0.0534,+5.3%,False
xgboost,12,weather_condition,Hot (>= 20C),121,34.7,40.7964,-0.1494,-14.9%,False
xgboost,12,weather_condition,Windy (>= 10 m/s),3428,39.6544,40.7964,-0.028,-2.8%,False
xgboost,12,weather_condition,Calm (< 10 m/s),940,44.961,40.7964,0.1021,+10.2%,False
xgboost,12,weather_condition,Overcast (>= 75%),2592,43.3339,40.7964,0.0622,+6.2%,False
xgboost,12,weather_condition,Clear (< 25%),1147,35.0784,40.7964,-0.1402,-14.0%,False
