model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
xgboost_mitigated,1,zone,US-MIDA-PJM,2184,21.3036,26.4395,-0.1943,-19.4%,False
xgboost_mitigated,1,zone,US-NW-PACW,2184,31.5755,26.4395,0.1943,+19.4%,False
xgboost_mitigated,1,season,Fall,2928,26.7098,26.4395,0.0102,+1.0%,False
xgboost_mitigated,1,season,Winter,1440,25.8901,26.4395,-0.0208,-2.1%,False
xgboost_mitigated,1,carbon_bucket,High (350-500),1681,25.1576,26.4395,-0.0485,-4.8%,False
xgboost_mitigated,1,carbon_bucket,Low (100-200),476,27.1948,26.4395,0.0286,+2.9%,False
xgboost_mitigated,1,carbon_bucket,Medium (200-350),1909,28.238,26.4395,0.068,+6.8%,False
xgboost_mitigated,1,carbon_bucket,Very High (500+),267,20.1856,26.4395,-0.2365,-23.7%,True
xgboost_mitigated,1,carbon_bucket,Very Low (0-100),35,27.3586,26.4395,0.0348,+3.5%,False
xgboost_mitigated,1,weather_condition,Cold (< 5C),996,23.6394,26.4395,-0.1059,-10.6%,False
xgboost_mitigated,1,weather_condition,Mild (5-20C),3251,27.3114,26.4395,0.033,+3.3%,False
xgboost_mitigated,1,weather_condition,Hot (>= 20C),121,26.0624,26.4395,-0.0143,-1.4%,False
xgboost_mitigated,1,weather_condition,Windy (>= 10 m/s),3428,25.9328,26.4395,-0.0192,-1.9%,False
xgboost_mitigated,1,weather_condition,Calm (< 10 m/s),940,28.2875,26.4395,0.0699,+7.0%,False
xgboost_mitigated,1,weather_condition,Overcast (>= 75%),2592,27.3218,26.4395,0.0334,+3.3%,False
xgboost_mitigated,1,weather_condition,Clear (< 25%),1147,24.8359,26.4395,-0.0607,-6.1%,False
