model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
xgboost,1,zone,US-MIDA-PJM,2184,10.964,20.1889,-0.4569,-45.7%,True
xgboost,1,zone,US-NW-PACW,2184,29.4138,20.1889,0.4569,+45.7%,True
xgboost,1,season,Fall,2928,20.361,20.1889,0.0085,+0.9%,False
xgboost,1,season,Winter,1440,19.8391,20.1889,-0.0173,-1.7%,False
xgboost,1,carbon_bucket,High (350-500),1681,16.2852,20.1889,-0.1934,-19.3%,False
xgboost,1,carbon_bucket,Low (100-200),476,25.0408,20.1889,0.2403,+24.0%,True
xgboost,1,carbon_bucket,Medium (200-350),1909,23.5382,20.1889,0.1659,+16.6%,False
xgboost,1,carbon_bucket,Very High (500+),267,9.9788,20.1889,-0.5057,-50.6%,True
xgboost,1,carbon_bucket,Very Low (0-100),35,36.9053,20.1889,0.828,+82.8%,True
xgboost,1,weather_condition,Cold (< 5C),996,14.6542,20.1889,-0.2741,-27.4%,True
xgboost,1,weather_condition,Mild (5-20C),3251,22.0931,20.1889,0.0943,+9.4%,False
xgboost,1,weather_condition,Hot (>= 20C),121,14.5854,20.1889,-0.2776,-27.8%,True
xgboost,1,weather_condition,Windy (>= 10 m/s),3428,19.4904,20.1889,-0.0346,-3.5%,False
xgboost,1,weather_condition,Calm (< 10 m/s),940,22.7364,20.1889,0.1262,+12.6%,False
xgboost,1,weather_condition,Overcast (>= 75%),2592,22.0418,20.1889,0.0918,+9.2%,False
xgboost,1,weather_condition,Clear (< 25%),1147,16.5188,20.1889,-0.1818,-18.2%,False
