slice_type,slice_value,mae_before,r2_before,mae_after,r2_after,mae_improvement,mae_improvement_pct,model,horizon
overall,all,40.0421,0.7605,41.191,0.7522,-1.1489000000000047,-2.87,lightgbm,12
zone,US-MIDA-PJM,28.4578,0.7561,31.7038,0.7027,-3.246000000000002,-11.41,lightgbm,12
zone,US-NW-PACW,51.6263,0.4321,50.6783,0.4444,0.9480000000000004,1.84,lightgbm,12
season,Fall,40.7669,0.6506,42.0801,0.6369,-1.313200000000002,-3.22,lightgbm,12
season,Winter,38.5682,0.8594,39.3834,0.8561,-0.8152000000000044,-2.11,lightgbm,12
carbon_bucket,High (350-500),32.1396,0.7604,34.7029,0.7317,-2.563299999999998,-7.98,lightgbm,12
carbon_bucket,Low (100-200),53.0547,0.3877,51.8056,0.4116,1.2490999999999985,2.35,lightgbm,12
carbon_bucket,Medium (200-350),44.8991,0.6463,45.3341,0.6399,-0.4350000000000023,-0.97,lightgbm,12
carbon_bucket,Very High (500+),28.8251,0.7991,31.1885,0.7747,-2.363400000000002,-8.2,lightgbm,12
carbon_bucket,Very Low (0-100),63.2684,-0.1003,58.7804,0.0029,4.4879999999999995,7.09,lightgbm,12
weather_condition,Cold (< 5C),33.3491,0.8469,34.5916,0.8397,-1.2424999999999997,-3.73,lightgbm,12
weather_condition,Mild (5-20C),42.3574,0.7051,43.4163,0.6962,-1.0589000000000013,-2.5,lightgbm,12
weather_condition,Hot (>= 20C),32.9273,0.7507,35.7261,0.7221,-2.7988,-8.5,lightgbm,12
weather_condition,Windy (>= 10 m/s),38.8883,0.7764,40.2529,0.7679,-1.3645999999999958,-3.51,lightgbm,12
weather_condition,Calm (< 10 m/s),44.2498,0.6878,44.6123,0.6805,-0.36249999999999716,-0.82,lightgbm,12
weather_condition,Overcast (>= 75%),42.481,0.7485,43.0749,0.7459,-0.5938999999999979,-1.4,lightgbm,12
weather_condition,Clear (< 25%),34.5102,0.7307,36.7706,0.7015,-2.260400000000004,-6.55,lightgbm,12
