model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
lightgbm_mitigated,24,zone,US-MIDA-PJM,2184,31.1357,44.4153,-0.299,-29.9%,True
lightgbm_mitigated,24,zone,US-NW-PACW,2184,57.6948,44.4153,0.299,+29.9%,True
lightgbm_mitigated,24,season,Fall,2928,45.6921,44.4153,0.0287,+2.9%,False
lightgbm_mitigated,24,season,Winter,1440,41.8189,44.4153,-0.0585,-5.8%,False
lightgbm_mitigated,24,carbon_bucket,High (350-500),1681,37.8195,44.4153,-0.1485,-14.9%,False
lightgbm_mitigated,24,carbon_bucket,Low (100-200),476,50.7806,44.4153,0.1433,+14.3%,False
lightgbm_mitigated,24,carbon_bucket,Medium (200-350),1909,50.1982,44.4153,0.1302,+13.0%,False
lightgbm_mitigated,24,carbon_bucket,Very High (500+),267,32.608,44.4153,-0.2658,-26.6%,True
lightgbm_mitigated,24,carbon_bucket,Very Low (0-100),35,49.2813,44.4153,0.1096,+11.0%,False
lightgbm_mitigated,24,weather_condition,Cold (< 5C),996,36.543,44.4153,-0.1772,-17.7%,False
lightgbm_mitigated,24,weather_condition,Mild (5-20C),3251,46.961,44.4153,0.0573,+5.7%,False
lightgbm_mitigated,24,weather_condition,Hot (>= 20C),121,40.8171,44.4153,-0.081,-8.1%,False
lightgbm_mitigated,24,weather_condition,Windy (>= 10 m/s),3428,43.2784,44.4153,-0.0256,-2.6%,False
lightgbm_mitigated,24,weather_condition,Calm (< 10 m/s),940,48.5611,44.4153,0.0933,+9.3%,False
lightgbm_mitigated,24,weather_condition,Overcast (>= 75%),2592,48.9379,44.4153,0.1018,+10.2%,False
lightgbm_mitigated,24,weather_condition,Clear (< 25%),1147,35.1057,44.4153,-0.2096,-21.0%,True
