model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
lightgbm,12,overall,all,4368,35.5916,48.5563,0.7947,13.9918
lightgbm,12,zone,US-MIDA-PJM,2184,20.6468,26.1395,0.8703,5.1386
lightgbm,12,zone,US-NW-PACW,2184,50.5363,63.4993,0.457,22.8449
lightgbm,12,season,Fall,2928,35.0038,47.3498,0.7287,11.3634
lightgbm,12,season,Winter,1440,36.7868,50.9214,0.8526,19.3362
lightgbm,12,carbon_bucket,High (350-500),1681,24.4889,33.1275,0.8505,6.9902
lightgbm,12,carbon_bucket,Low (100-200),476,56.9271,69.4013,0.3235,32.9092
lightgbm,12,carbon_bucket,Medium (200-350),1909,41.7717,54.9852,0.6822,15.794
lightgbm,12,carbon_bucket,Very High (500+),267,19.7503,25.7965,0.9026,4.8393
lightgbm,12,carbon_bucket,Very Low (0-100),35,62.4381,77.7827,-0.1857,64.5153
lightgbm,12,weather_condition,Cold (< 5C),996,25.6657,35.3971,0.9009,9.8838
lightgbm,12,weather_condition,Mild (5-20C),3251,38.8984,52.2998,0.7346,15.4802
lightgbm,12,weather_condition,Hot (>= 20C),121,28.4499,36.1583,0.8109,7.8155
lightgbm,12,weather_condition,Windy (>= 10 m/s),3428,34.3065,47.2303,0.8094,13.7438
lightgbm,12,weather_condition,Calm (< 10 m/s),940,40.2782,53.1124,0.7282,14.8962
lightgbm,12,weather_condition,Overcast (>= 75%),2592,37.007,50.2622,0.7945,15.3262
lightgbm,12,weather_condition,Clear (< 25%),1147,30.38,41.7074,0.7653,9.3402
