model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
lightgbm,1,overall,all,4368,25.9637,34.0967,0.8983,9.1217
lightgbm,1,zone,US-MIDA-PJM,2184,19.652,25.1656,0.8799,4.8991
lightgbm,1,zone,US-NW-PACW,2184,32.2755,41.1323,0.7722,13.3443
lightgbm,1,season,Fall,2928,26.2605,34.7261,0.8537,8.4946
lightgbm,1,season,Winter,1440,25.3604,32.7798,0.9387,10.3968
lightgbm,1,carbon_bucket,High (350-500),1681,23.8734,31.7054,0.8177,6.1903
lightgbm,1,carbon_bucket,Low (100-200),476,27.4277,35.0436,0.4707,15.4153
lightgbm,1,carbon_bucket,Medium (200-350),1909,28.5982,37.0567,0.7898,10.534
lightgbm,1,carbon_bucket,Very High (500+),267,18.0969,23.1787,0.8793,4.1002
lightgbm,1,carbon_bucket,Very Low (0-100),35,22.7689,33.3564,0.126,25.5986
lightgbm,1,weather_condition,Cold (< 5C),996,23.0142,30.4632,0.9232,7.0542
lightgbm,1,weather_condition,Mild (5-20C),3251,26.9729,35.2369,0.8781,9.8456
lightgbm,1,weather_condition,Hot (>= 20C),121,23.1285,31.1357,0.8563,6.6913
lightgbm,1,weather_condition,Windy (>= 10 m/s),3428,25.347,33.3055,0.9061,8.8546
lightgbm,1,weather_condition,Calm (< 10 m/s),940,28.2129,36.8384,0.8591,10.0958
lightgbm,1,weather_condition,Overcast (>= 75%),2592,27.1707,35.8128,0.8908,9.8815
lightgbm,1,weather_condition,Clear (< 25%),1147,23.8705,31.0217,0.895,7.3119
