model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
lightgbm,24,zone,US-MIDA-PJM,2184,24.8538,40.5463,-0.387,-38.7%,True
lightgbm,24,zone,US-NW-PACW,2184,56.2388,40.5463,0.387,+38.7%,True
lightgbm,24,season,Fall,2928,40.3319,40.5463,-0.0053,-0.5%,False
lightgbm,24,season,Winter,1440,40.9822,40.5463,0.0108,+1.1%,False
lightgbm,24,carbon_bucket,High (350-500),1681,32.2349,40.5463,-0.205,-20.5%,True
lightgbm,24,carbon_bucket,Low (100-200),476,55.3125,40.5463,0.3642,+36.4%,True
lightgbm,24,carbon_bucket,Medium (200-350),1909,46.0791,40.5463,0.1365,+13.6%,False
lightgbm,24,carbon_bucket,Very High (500+),267,26.2537,40.5463,-0.3525,-35.3%,True
lightgbm,24,carbon_bucket,Very Low (0-100),35,46.1696,40.5463,0.1387,+13.9%,False
lightgbm,24,weather_condition,Cold (< 5C),996,30.9042,40.5463,-0.2378,-23.8%,True
lightgbm,24,weather_condition,Mild (5-20C),3251,43.7244,40.5463,0.0784,+7.8%,False
lightgbm,24,weather_condition,Hot (>= 20C),121,34.5269,40.5463,-0.1485,-14.8%,False
lightgbm,24,weather_condition,Windy (>= 10 m/s),3428,39.3468,40.5463,-0.0296,-3.0%,False
lightgbm,24,weather_condition,Calm (< 10 m/s),940,44.9205,40.5463,0.1079,+10.8%,False
lightgbm,24,weather_condition,Overcast (>= 75%),2592,45.0264,40.5463,0.1105,+11.0%,False
lightgbm,24,weather_condition,Clear (< 25%),1147,31.0373,40.5463,-0.2345,-23.5%,True
