slice_type,slice_value,mae_before,r2_before,mae_after,r2_after,mae_improvement,mae_improvement_pct,model,horizon
overall,all,34.3439,0.8172,35.7462,0.8058,-1.4023000000000039,-4.08,xgboost,6
zone,US-MIDA-PJM,24.6394,0.8127,26.8947,0.7805,-2.255300000000002,-9.15,xgboost,6
zone,US-NW-PACW,44.0484,0.5694,44.5978,0.5571,-0.5493999999999986,-1.25,xgboost,6
season,Fall,34.6913,0.7378,35.9079,0.7243,-1.2165999999999997,-3.51,xgboost,6
season,Winter,33.6375,0.8888,35.4174,0.879,-1.7798999999999978,-5.29,xgboost,6
carbon_bucket,High (350-500),29.068,0.7818,30.7883,0.762,-1.7202999999999982,-5.92,xgboost,6
carbon_bucket,Low (100-200),38.1987,0.4019,39.6097,0.3681,-1.4109999999999943,-3.69,xgboost,6
carbon_bucket,Medium (200-350),38.5866,0.7002,39.7751,0.6853,-1.1885000000000048,-3.08,xgboost,6
carbon_bucket,Very High (500+),25.6821,0.8355,26.611,0.825,-0.9289000000000023,-3.62,xgboost,6
carbon_bucket,Very Low (0-100),69.9799,-0.3055,71.2674,-0.3703,-1.2874999999999943,-1.84,xgboost,6
weather_condition,Cold (< 5C),30.2636,0.8569,32.5328,0.8426,-2.2692000000000014,-7.5,xgboost,6
weather_condition,Mild (5-20C),35.8193,0.7807,36.9445,0.7691,-1.1251999999999995,-3.14,xgboost,6
weather_condition,Hot (>= 20C),28.2907,0.8231,30.0017,0.807,-1.7109999999999985,-6.05,xgboost,6
weather_condition,Windy (>= 10 m/s),33.448,0.8305,34.9581,0.8184,-1.5101000000000013,-4.51,xgboost,6
weather_condition,Calm (< 10 m/s),37.6111,0.7421,38.6204,0.733,-1.009299999999996,-2.68,xgboost,6
weather_condition,Overcast (>= 75%),37.2121,0.7881,38.3863,0.7772,-1.174199999999999,-3.16,xgboost,6
weather_condition,Clear (< 25%),29.6133,0.8275,31.1183,0.8162,-1.5050000000000026,-5.08,xgboost,6
