model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
lightgbm,1,zone,US-MIDA-PJM,2184,19.652,25.9637,-0.2431,-24.3%,True
lightgbm,1,zone,US-NW-PACW,2184,32.2755,25.9637,0.2431,+24.3%,True
lightgbm,1,season,Fall,2928,26.2605,25.9637,0.0114,+1.1%,False
lightgbm,1,season,Winter,1440,25.3604,25.9637,-0.0232,-2.3%,False
lightgbm,1,carbon_bucket,High (350-500),1681,23.8734,25.9637,-0.0805,-8.1%,False
lightgbm,1,carbon_bucket,Low (100-200),476,27.4277,25.9637,0.0564,+5.6%,False
lightgbm,1,carbon_bucket,Medium (200-350),1909,28.5982,25.9637,0.1015,+10.1%,False
lightgbm,1,carbon_bucket,Very High (500+),267,18.0969,25.9637,-0.303,-30.3%,True
lightgbm,1,carbon_bucket,Very Low (0-100),35,22.7689,25.9637,-0.123,-12.3%,False
lightgbm,1,weather_condition,Cold (< 5C),996,23.0142,25.9637,-0.1136,-11.4%,False
lightgbm,1,weather_condition,Mild (5-20C),3251,26.9729,25.9637,0.0389,+3.9%,False
lightgbm,1,weather_condition,Hot (>= 20C),121,23.1285,25.9637,-0.1092,-10.9%,False
lightgbm,1,weather_condition,Windy (>= 10 m/s),3428,25.347,25.9637,-0.0238,-2.4%,False
lightgbm,1,weather_condition,Calm (< 10 m/s),940,28.2129,25.9637,0.0866,+8.7%,False
lightgbm,1,weather_condition,Overcast (>= 75%),2592,27.1707,25.9637,0.0465,+4.6%,False
lightgbm,1,weather_condition,Clear (< 25%),1147,23.8705,25.9637,-0.0806,-8.1%,False
