model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
xgboost,6,zone,US-MIDA-PJM,2184,24.6394,34.3439,-0.2826,-28.3%,True
xgboost,6,zone,US-NW-PACW,2184,44.0484,34.3439,0.2826,+28.3%,True
xgboost,6,season,Fall,2928,34.6913,34.3439,0.0101,+1.0%,False
xgboost,6,season,Winter,1440,33.6375,34.3439,-0.0206,-2.1%,False
xgboost,6,carbon_bucket,High (350-500),1681,29.068,34.3439,-0.1536,-15.4%,False
xgboost,6,carbon_bucket,Low (100-200),476,38.1987,34.3439,0.1122,+11.2%,False
xgboost,6,carbon_bucket,Medium (200-350),1909,38.5866,34.3439,0.1235,+12.4%,False
xgboost,6,carbon_bucket,Very High (500+),267,25.6821,34.3439,-0.2522,-25.2%,True
xgboost,6,carbon_bucket,Very Low (0-100),35,69.9799,34.3439,1.0376,+103.8%,True
xgboost,6,weather_condition,Cold (< 5C),996,30.2636,34.3439,-0.1188,-11.9%,False
xgboost,6,weather_condition,Mild (5-20C),3251,35.8193,34.3439,0.043,+4.3%,False
xgboost,6,weather_condition,Hot (>= 20C),121,28.2907,34.3439,-0.1763,-17.6%,False
xgboost,6,weather_condition,Windy (>= 10 m/s),3428,33.448,34.3439,-0.0261,-2.6%,False
xgboost,6,weather_condition,Calm (< 10 m/s),940,37.6111,34.3439,0.0951,+9.5%,False
xgboost,6,weather_condition,Overcast (>= 75%),2592,37.2121,34.3439,0.0835,+8.4%,False
xgboost,6,weather_condition,Clear (< 25%),1147,29.6133,34.3439,-0.1377,-13.8%,False
