model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
lightgbm,6,zone,US-MIDA-PJM,2184,27.6806,36.5077,-0.2418,-24.2%,True
lightgbm,6,zone,US-NW-PACW,2184,45.3347,36.5077,0.2418,+24.2%,True
lightgbm,6,season,Fall,2928,37.1383,36.5077,0.0173,+1.7%,False
lightgbm,6,season,Winter,1440,35.2253,36.5077,-0.0351,-3.5%,False
lightgbm,6,carbon_bucket,High (350-500),1681,32.4798,36.5077,-0.1103,-11.0%,False
lightgbm,6,carbon_bucket,Low (100-200),476,39.1969,36.5077,0.0737,+7.4%,False
lightgbm,6,carbon_bucket,Medium (200-350),1909,40.6638,36.5077,0.1138,+11.4%,False
lightgbm,6,carbon_bucket,Very High (500+),267,23.7144,36.5077,-0.3504,-35.0%,True
lightgbm,6,carbon_bucket,Very Low (0-100),35,64.2978,36.5077,0.7612,+76.1%,True
lightgbm,6,weather_condition,Cold (< 5C),996,32.7423,36.5077,-0.1031,-10.3%,False
lightgbm,6,weather_condition,Mild (5-20C),3251,37.8201,36.5077,0.0359,+3.6%,False
lightgbm,6,weather_condition,Hot (>= 20C),121,32.2394,36.5077,-0.1169,-11.7%,False
lightgbm,6,weather_condition,Windy (>= 10 m/s),3428,35.5769,36.5077,-0.0255,-2.5%,False
lightgbm,6,weather_condition,Calm (< 10 m/s),940,39.9019,36.5077,0.093,+9.3%,False
lightgbm,6,weather_condition,Overcast (>= 75%),2592,38.9443,36.5077,0.0667,+6.7%,False
lightgbm,6,weather_condition,Clear (< 25%),1147,32.3776,36.5077,-0.1131,-11.3%,False
