slice_type,slice_value,mae_before,r2_before,mae_after,r2_after,mae_improvement,mae_improvement_pct,model,horizon
overall,all,43.7627,0.7089,44.4153,0.7029,-0.6525999999999996,-1.49,lightgbm,24
zone,US-MIDA-PJM,28.8041,0.7432,31.1357,0.6974,-2.3316000000000017,-8.09,lightgbm,24
zone,US-NW-PACW,58.7214,0.2795,57.6948,0.2931,1.026600000000002,1.75,lightgbm,24
season,Fall,44.9129,0.5679,45.6921,0.5578,-0.779200000000003,-1.73,lightgbm,24
season,Winter,41.424,0.8349,41.8189,0.8325,-0.3948999999999998,-0.95,lightgbm,24
carbon_bucket,High (350-500),36.0577,0.6215,37.8195,0.5987,-1.761800000000001,-4.89,lightgbm,24
carbon_bucket,Low (100-200),52.8188,0.0475,50.7806,0.0825,2.0382000000000033,3.86,lightgbm,24
carbon_bucket,Medium (200-350),49.9388,0.5283,50.1982,0.5233,-0.2593999999999994,-0.52,lightgbm,24
carbon_bucket,Very High (500+),30.5595,0.7491,32.608,0.6934,-2.048499999999997,-6.7,lightgbm,24
carbon_bucket,Very Low (0-100),54.524,-0.885,49.2813,-0.5047,5.242699999999999,9.62,lightgbm,24
weather_condition,Cold (< 5C),34.394,0.8234,36.543,0.8068,-2.149000000000001,-6.25,lightgbm,24
weather_condition,Mild (5-20C),46.8456,0.6358,46.961,0.6338,-0.11540000000000106,-0.25,lightgbm,24
weather_condition,Hot (>= 20C),38.0498,0.6237,40.8171,0.5826,-2.767300000000006,-7.27,lightgbm,24
weather_condition,Windy (>= 10 m/s),42.2577,0.738,43.2784,0.7274,-1.020699999999998,-2.42,lightgbm,24
weather_condition,Calm (< 10 m/s),49.2511,0.5747,48.5611,0.5889,0.6899999999999977,1.4,lightgbm,24
weather_condition,Overcast (>= 75%),48.406,0.6698,48.9379,0.665,-0.5319000000000003,-1.1,lightgbm,24
weather_condition,Clear (< 25%),34.0342,0.7739,35.1057,0.7608,-1.0715000000000003,-3.15,lightgbm,24
