model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
lightgbm,6,overall,all,4368,35.5831,46.944,0.8076,12.9808
lightgbm,6,zone,US-MIDA-PJM,2184,26.0598,33.1984,0.7911,6.3831
lightgbm,6,zone,US-NW-PACW,2184,45.1064,57.4921,0.5551,19.5786
lightgbm,6,season,Fall,2928,35.8322,47.738,0.7236,11.4306
lightgbm,6,season,Winter,1440,35.0766,45.2866,0.8833,16.1331
lightgbm,6,carbon_bucket,High (350-500),1681,30.1335,39.7224,0.7689,8.0691
lightgbm,6,carbon_bucket,Low (100-200),476,40.3899,51.5952,0.3616,22.8399
lightgbm,6,carbon_bucket,Medium (200-350),1909,39.9405,52.3718,0.6844,14.7308
lightgbm,6,carbon_bucket,Very High (500+),267,26.841,34.5988,0.8188,6.5957
lightgbm,6,carbon_bucket,Very Low (0-100),35,60.9727,65.632,-0.0339,68.0661
lightgbm,6,weather_condition,Cold (< 5C),996,32.2307,42.7224,0.8464,10.8785
lightgbm,6,weather_condition,Mild (5-20C),3251,36.8133,48.4405,0.7709,13.8026
lightgbm,6,weather_condition,Hot (>= 20C),121,30.1261,38.5274,0.79,8.2083
lightgbm,6,weather_condition,Windy (>= 10 m/s),3428,34.5885,45.8012,0.8215,12.5925
lightgbm,6,weather_condition,Calm (< 10 m/s),940,39.2104,50.8947,0.7289,14.397
lightgbm,6,weather_condition,Overcast (>= 75%),2592,38.487,50.6644,0.7786,14.6754
lightgbm,6,weather_condition,Clear (< 25%),1147,30.6424,39.7718,0.816,9.0134
