model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
xgboost,6,overall,all,4368,34.3439,45.7592,0.8172,12.5577
xgboost,6,zone,US-MIDA-PJM,2184,24.6394,31.4386,0.8127,6.0172
xgboost,6,zone,US-NW-PACW,2184,44.0484,56.5635,0.5694,19.0982
xgboost,6,season,Fall,2928,34.6913,46.4987,0.7378,10.9995
xgboost,6,season,Winter,1440,33.6375,44.2175,0.8888,15.7261
xgboost,6,carbon_bucket,High (350-500),1681,29.068,38.5978,0.7818,7.7967
xgboost,6,carbon_bucket,Low (100-200),476,38.1987,49.9393,0.4019,21.4462
xgboost,6,carbon_bucket,Medium (200-350),1909,38.5866,51.046,0.7002,14.1862
xgboost,6,carbon_bucket,Very High (500+),267,25.6821,32.9633,0.8355,6.2636
xgboost,6,carbon_bucket,Very Low (0-100),35,69.9799,73.7491,-0.3055,79.5334
xgboost,6,weather_condition,Cold (< 5C),996,30.2636,41.229,0.8569,10.5898
xgboost,6,weather_condition,Mild (5-20C),3251,35.8193,47.3923,0.7807,13.3424
xgboost,6,weather_condition,Hot (>= 20C),121,28.2907,35.3616,0.8231,7.6736
xgboost,6,weather_condition,Windy (>= 10 m/s),3428,33.448,44.6363,0.8305,12.2089
xgboost,6,weather_condition,Calm (< 10 m/s),940,37.6111,49.6397,0.7421,13.8298
xgboost,6,weather_condition,Overcast (>= 75%),2592,37.2121,49.557,0.7881,14.301
xgboost,6,weather_condition,Clear (< 25%),1147,29.6133,38.5077,0.8275,8.6343
