slice_type,slice_value,mae_before,r2_before,mae_after,r2_after,mae_improvement,mae_improvement_pct,model,horizon
overall,all,43.014,0.7179,44.0063,0.7082,-0.9923000000000002,-2.31,xgboost,24
zone,US-MIDA-PJM,28.3509,0.7524,30.6631,0.707,-2.3122000000000007,-8.16,xgboost,24
zone,US-NW-PACW,57.6771,0.3006,57.3495,0.3029,0.3276000000000039,0.57,xgboost,24
season,Fall,44.4318,0.5738,45.3703,0.5639,-0.9384999999999977,-2.11,xgboost,24
season,Winter,40.1312,0.8469,41.2328,0.8373,-1.1015999999999977,-2.74,xgboost,24
carbon_bucket,High (350-500),35.402,0.6416,37.3088,0.6106,-1.906799999999997,-5.39,xgboost,24
carbon_bucket,Low (100-200),51.3199,0.084,51.7008,0.0713,-0.380900000000004,-0.74,xgboost,24
carbon_bucket,Medium (200-350),49.3949,0.5355,49.4833,0.5322,-0.08840000000000003,-0.18,xgboost,24
carbon_bucket,Very High (500+),29.6222,0.7479,32.4913,0.7028,-2.869100000000003,-9.69,xgboost,24
carbon_bucket,Very Low (0-100),49.7727,-0.4603,50.1441,-0.5219,-0.3714000000000013,-0.75,xgboost,24
weather_condition,Cold (< 5C),34.0115,0.83,35.5834,0.815,-1.5718999999999994,-4.62,xgboost,24
weather_condition,Mild (5-20C),46.0429,0.6459,46.7463,0.639,-0.7033999999999949,-1.53,xgboost,24
weather_condition,Hot (>= 20C),35.7366,0.6597,39.7215,0.5789,-3.984899999999996,-11.15,xgboost,24
weather_condition,Windy (>= 10 m/s),41.3117,0.748,42.4526,0.7376,-1.140899999999995,-2.76,xgboost,24
weather_condition,Calm (< 10 m/s),49.222,0.5793,49.6725,0.5726,-0.4504999999999981,-0.92,xgboost,24
weather_condition,Overcast (>= 75%),47.3752,0.6825,47.9792,0.6782,-0.6039999999999992,-1.27,xgboost,24
weather_condition,Clear (< 25%),33.9024,0.7703,35.4236,0.7504,-1.5212000000000003,-4.49,xgboost,24
