model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
xgboost,6,zone,US-MIDA-PJM,2184,26.6083,35.5114,-0.2507,-25.1%,True
xgboost,6,zone,US-NW-PACW,2184,44.4146,35.5114,0.2507,+25.1%,True
xgboost,6,season,Fall,2928,35.971,35.5114,0.0129,+1.3%,False
xgboost,6,season,Winter,1440,34.577,35.5114,-0.0263,-2.6%,False
xgboost,6,carbon_bucket,High (350-500),1681,31.266,35.5114,-0.1196,-12.0%,False
xgboost,6,carbon_bucket,Low (100-200),476,38.4297,35.5114,0.0822,+8.2%,False
xgboost,6,carbon_bucket,Medium (200-350),1909,39.7855,35.5114,0.1204,+12.0%,False
xgboost,6,carbon_bucket,Very High (500+),267,22.5232,35.5114,-0.3657,-36.6%,True
xgboost,6,carbon_bucket,Very Low (0-100),35,65.6885,35.5114,0.8498,+85.0%,True
xgboost,6,weather_condition,Cold (< 5C),996,32.0232,35.5114,-0.0982,-9.8%,False
xgboost,6,weather_condition,Mild (5-20C),3251,36.805,35.5114,0.0364,+3.6%,False
xgboost,6,weather_condition,Hot (>= 20C),121,29.4693,35.5114,-0.1701,-17.0%,False
xgboost,6,weather_condition,Windy (>= 10 m/s),3428,34.7041,35.5114,-0.0227,-2.3%,False
xgboost,6,weather_condition,Calm (< 10 m/s),940,38.4554,35.5114,0.0829,+8.3%,False
xgboost,6,weather_condition,Overcast (>= 75%),2592,38.0427,35.5114,0.0713,+7.1%,False
xgboost,6,weather_condition,Clear (< 25%),1147,31.3406,35.5114,-0.1174,-11.7%,False
