model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
xgboost,24,overall,all,4368,43.014,57.0165,0.7179,16.3507
xgboost,24,zone,US-MIDA-PJM,2184,28.3509,36.0764,0.7524,6.8529
xgboost,24,zone,US-NW-PACW,2184,57.6771,72.1128,0.3006,25.8486
xgboost,24,season,Fall,2928,44.4318,59.3039,0.5738,14.5177
xgboost,24,season,Winter,1440,40.1312,52.0566,0.8469,20.0779
xgboost,24,carbon_bucket,High (350-500),1681,35.402,47.5106,0.6416,9.4333
xgboost,24,carbon_bucket,Low (100-200),476,51.3199,63.9792,0.084,33.8605
xgboost,24,carbon_bucket,Medium (200-350),1909,49.3949,64.5772,0.5355,19.1452
xgboost,24,carbon_bucket,Very High (500+),267,29.6222,37.3779,0.7479,6.9857
xgboost,24,carbon_bucket,Very Low (0-100),35,49.7727,59.286,-0.4603,29.4745
xgboost,24,weather_condition,Cold (< 5C),996,34.0115,45.5047,0.83,12.3143
xgboost,24,weather_condition,Mild (5-20C),3251,46.0429,60.3468,0.6459,17.7884
xgboost,24,weather_condition,Hot (>= 20C),121,35.7366,49.6399,0.6597,10.9484
xgboost,24,weather_condition,Windy (>= 10 m/s),3428,41.3117,54.796,0.748,15.9522
xgboost,24,weather_condition,Calm (< 10 m/s),940,49.222,64.4695,0.5793,17.804
xgboost,24,weather_condition,Overcast (>= 75%),2592,47.3752,62.0252,0.6825,18.3593
xgboost,24,weather_condition,Clear (< 25%),1147,33.9024,45.0892,0.7703,10.6571
