model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
lightgbm,24,zone,US-MIDA-PJM,2184,24.0667,39.5454,-0.3914,-39.1%,True
lightgbm,24,zone,US-NW-PACW,2184,55.0241,39.5454,0.3914,+39.1%,True
lightgbm,24,season,Fall,2928,39.174,39.5454,-0.0094,-0.9%,False
lightgbm,24,season,Winter,1440,40.3006,39.5454,0.0191,+1.9%,False
lightgbm,24,carbon_bucket,High (350-500),1681,30.8798,39.5454,-0.2191,-21.9%,True
lightgbm,24,carbon_bucket,Low (100-200),476,54.6544,39.5454,0.3821,+38.2%,True
lightgbm,24,carbon_bucket,Medium (200-350),1909,45.2201,39.5454,0.1435,+14.3%,False
lightgbm,24,carbon_bucket,Very High (500+),267,25.3318,39.5454,-0.3594,-35.9%,True
lightgbm,24,carbon_bucket,Very Low (0-100),35,49.1722,39.5454,0.2434,+24.3%,True
lightgbm,24,weather_condition,Cold (< 5C),996,29.6294,39.5454,-0.2507,-25.1%,True
lightgbm,24,weather_condition,Mild (5-20C),3251,42.8714,39.5454,0.0841,+8.4%,False
lightgbm,24,weather_condition,Hot (>= 20C),121,31.8058,39.5454,-0.1957,-19.6%,False
lightgbm,24,weather_condition,Windy (>= 10 m/s),3428,38.0811,39.5454,-0.037,-3.7%,False
lightgbm,24,weather_condition,Calm (< 10 m/s),940,44.8855,39.5454,0.135,+13.5%,False
lightgbm,24,weather_condition,Overcast (>= 75%),2592,43.3122,39.5454,0.0953,+9.5%,False
lightgbm,24,weather_condition,Clear (< 25%),1147,31.1954,39.5454,-0.2111,-21.1%,True
