model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
xgboost,1,zone,US-MIDA-PJM,2184,23.5561,29.2671,-0.1951,-19.5%,False
xgboost,1,zone,US-NW-PACW,2184,34.9781,29.2671,0.1951,+19.5%,False
xgboost,1,season,Fall,2928,30.0795,29.2671,0.0278,+2.8%,False
xgboost,1,season,Winter,1440,27.6152,29.2671,-0.0564,-5.6%,False
xgboost,1,carbon_bucket,High (350-500),1681,28.2063,29.2671,-0.0362,-3.6%,False
xgboost,1,carbon_bucket,Low (100-200),476,26.9041,29.2671,-0.0807,-8.1%,False
xgboost,1,carbon_bucket,Medium (200-350),1909,32.1682,29.2671,0.0991,+9.9%,False
xgboost,1,carbon_bucket,Very High (500+),267,20.1442,29.2671,-0.3117,-31.2%,True
xgboost,1,carbon_bucket,Very Low (0-100),35,23.7094,29.2671,-0.1899,-19.0%,False
xgboost,1,weather_condition,Cold (< 5C),996,26.7125,29.2671,-0.0873,-8.7%,False
xgboost,1,weather_condition,Mild (5-20C),3251,30.2045,29.2671,0.032,+3.2%,False
xgboost,1,weather_condition,Hot (>= 20C),121,25.1091,29.2671,-0.1421,-14.2%,False
xgboost,1,weather_condition,Windy (>= 10 m/s),3428,28.9975,29.2671,-0.0092,-0.9%,False
xgboost,1,weather_condition,Calm (< 10 m/s),940,30.2502,29.2671,0.0336,+3.4%,False
xgboost,1,weather_condition,Overcast (>= 75%),2592,30.4998,29.2671,0.0421,+4.2%,False
xgboost,1,weather_condition,Clear (< 25%),1147,27.7275,29.2671,-0.0526,-5.3%,False
