model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
xgboost,24,overall,all,4368,39.9996,54.3981,0.7432,15.7825
xgboost,24,zone,US-MIDA-PJM,2184,23.3516,29.3254,0.8364,5.7493
xgboost,24,zone,US-NW-PACW,2184,56.6476,71.1219,0.3197,25.8156
xgboost,24,season,Fall,2928,39.2008,53.7119,0.6504,12.6381
xgboost,24,season,Winter,1440,41.6239,55.7673,0.8243,22.1762
xgboost,24,carbon_bucket,High (350-500),1681,30.5591,42.4182,0.7144,8.2966
xgboost,24,carbon_bucket,Low (100-200),476,57.245,70.8492,-0.1233,37.7378
xgboost,24,carbon_bucket,Medium (200-350),1909,45.8529,60.9568,0.5862,18.0186
xgboost,24,carbon_bucket,Very High (500+),267,26.1705,34.4646,0.7857,6.3689
xgboost,24,carbon_bucket,Very Low (0-100),35,45.1172,53.756,-0.2006,26.5777
xgboost,24,weather_condition,Cold (< 5C),996,30.036,41.0995,0.8613,11.6389
xgboost,24,weather_condition,Mild (5-20C),3251,43.4105,58.283,0.6697,17.2994
xgboost,24,weather_condition,Hot (>= 20C),121,30.371,40.6368,0.7719,9.1341
xgboost,24,weather_condition,Windy (>= 10 m/s),3428,38.2063,52.1614,0.7716,15.3636
xgboost,24,weather_condition,Calm (< 10 m/s),940,46.5392,61.8738,0.6125,17.3101
xgboost,24,weather_condition,Overcast (>= 75%),2592,44.097,59.3115,0.7097,17.8848
xgboost,24,weather_condition,Clear (< 25%),1147,30.7544,41.0808,0.8094,9.7363
