model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
lightgbm,6,overall,all,4368,36.5077,47.9935,0.7989,13.2196
lightgbm,6,zone,US-MIDA-PJM,2184,27.6806,35.3009,0.7639,6.7936
lightgbm,6,zone,US-NW-PACW,2184,45.3347,57.9706,0.5477,19.6457
lightgbm,6,season,Fall,2928,37.1383,49.1153,0.7074,11.7656
lightgbm,6,season,Winter,1440,35.2253,45.6274,0.8816,16.1761
lightgbm,6,carbon_bucket,High (350-500),1681,32.4798,42.3315,0.7375,8.7145
lightgbm,6,carbon_bucket,Low (100-200),476,39.1969,50.9751,0.3768,21.8886
lightgbm,6,carbon_bucket,Medium (200-350),1909,40.6638,53.1253,0.6753,14.9187
lightgbm,6,carbon_bucket,Very High (500+),267,23.7144,31.2553,0.8521,5.9279
lightgbm,6,carbon_bucket,Very Low (0-100),35,64.2978,68.3243,-0.1205,74.6477
lightgbm,6,weather_condition,Cold (< 5C),996,32.7423,43.5526,0.8403,11.0888
lightgbm,6,weather_condition,Mild (5-20C),3251,37.8201,49.4844,0.7609,14.04
lightgbm,6,weather_condition,Hot (>= 20C),121,32.2394,41.7746,0.7532,8.7158
lightgbm,6,weather_condition,Windy (>= 10 m/s),3428,35.5769,46.871,0.8131,12.8167
lightgbm,6,weather_condition,Calm (< 10 m/s),940,39.9019,51.8816,0.7183,14.6888
lightgbm,6,weather_condition,Overcast (>= 75%),2592,38.9443,51.2355,0.7735,14.8143
lightgbm,6,weather_condition,Clear (< 25%),1147,32.3776,42.1606,0.7932,9.4291
