model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
xgboost,1,zone,US-MIDA-PJM,2184,18.4263,25.143,-0.2671,-26.7%,True
xgboost,1,zone,US-NW-PACW,2184,31.8597,25.143,0.2671,+26.7%,True
xgboost,1,season,Fall,2928,25.3636,25.143,0.0088,+0.9%,False
xgboost,1,season,Winter,1440,24.6943,25.143,-0.0178,-1.8%,False
xgboost,1,carbon_bucket,High (350-500),1681,22.8805,25.143,-0.09,-9.0%,False
xgboost,1,carbon_bucket,Low (100-200),476,26.8756,25.143,0.0689,+6.9%,False
xgboost,1,carbon_bucket,Medium (200-350),1909,27.5858,25.143,0.0972,+9.7%,False
xgboost,1,carbon_bucket,Very High (500+),267,18.2916,25.143,-0.2725,-27.2%,True
xgboost,1,carbon_bucket,Very Low (0-100),35,29.2731,25.143,0.1643,+16.4%,False
xgboost,1,weather_condition,Cold (< 5C),996,22.2687,25.143,-0.1143,-11.4%,False
xgboost,1,weather_condition,Mild (5-20C),3251,26.0897,25.143,0.0377,+3.8%,False
xgboost,1,weather_condition,Hot (>= 20C),121,23.3666,25.143,-0.0707,-7.1%,False
xgboost,1,weather_condition,Windy (>= 10 m/s),3428,24.4632,25.143,-0.027,-2.7%,False
xgboost,1,weather_condition,Calm (< 10 m/s),940,27.6221,25.143,0.0986,+9.9%,False
xgboost,1,weather_condition,Overcast (>= 75%),2592,26.5127,25.143,0.0545,+5.4%,False
xgboost,1,weather_condition,Clear (< 25%),1147,22.5679,25.143,-0.1024,-10.2%,False
