model,horizon,slice_type,slice_value,n_samples,mae,rmse,r2,mape
xgboost,1,overall,all,4368,26.3966,34.6421,0.895,9.2396
xgboost,1,zone,US-MIDA-PJM,2184,20.5906,26.7362,0.8644,5.135
xgboost,1,zone,US-NW-PACW,2184,32.2027,41.0528,0.7731,13.3442
xgboost,1,season,Fall,2928,26.741,35.2409,0.8493,8.621
xgboost,1,season,Winter,1440,25.6964,33.3915,0.9364,10.4973
xgboost,1,carbon_bucket,High (350-500),1681,25.2822,33.4895,0.7966,6.5536
xgboost,1,carbon_bucket,Low (100-200),476,26.2556,33.6552,0.5118,14.858
xgboost,1,carbon_bucket,Medium (200-350),1909,28.8811,37.2283,0.7879,10.5973
xgboost,1,carbon_bucket,Very High (500+),267,15.7396,21.6084,0.8951,3.5424
xgboost,1,carbon_bucket,Very Low (0-100),35,27.6283,36.6545,-0.0553,31.2417
xgboost,1,weather_condition,Cold (< 5C),996,23.7399,31.6729,0.917,7.2896
xgboost,1,weather_condition,Mild (5-20C),3251,27.2641,35.5901,0.8757,9.9106
xgboost,1,weather_condition,Hot (>= 20C),121,24.9597,32.1263,0.847,7.2624
xgboost,1,weather_condition,Windy (>= 10 m/s),3428,25.7836,33.8694,0.9028,8.9574
xgboost,1,weather_condition,Calm (< 10 m/s),940,28.6322,37.3248,0.8554,10.2685
xgboost,1,weather_condition,Overcast (>= 75%),2592,27.7009,36.4509,0.8868,10.0372
xgboost,1,weather_condition,Clear (< 25%),1147,24.169,31.5756,0.8912,7.3793
