model,horizon,slice_type,slice_value,n_samples,slice_mae,baseline_mae,relative_diff,pct_deviation,flagged
lightgbm,1,zone,US-MIDA-PJM,2184,12.9928,21.4215,-0.3935,-39.3%,True
lightgbm,1,zone,US-NW-PACW,2184,29.8502,21.4215,0.3935,+39.3%,True
lightgbm,1,season,Fall,2928,21.723,21.4215,0.0141,+1.4%,False
lightgbm,1,season,Winter,1440,20.8085,21.4215,-0.0286,-2.9%,False
lightgbm,1,carbon_bucket,High (350-500),1681,17.9491,21.4215,-0.1621,-16.2%,False
lightgbm,1,carbon_bucket,Low (100-200),476,25.2356,21.4215,0.1781,+17.8%,False
lightgbm,1,carbon_bucket,Medium (200-350),1909,24.8035,21.4215,0.1579,+15.8%,False
lightgbm,1,carbon_bucket,Very High (500+),267,11.2643,21.4215,-0.4742,-47.4%,True
lightgbm,1,carbon_bucket,Very Low (0-100),35,29.3464,21.4215,0.37,+37.0%,True
lightgbm,1,weather_condition,Cold (< 5C),996,16.7013,21.4215,-0.2203,-22.0%,True
lightgbm,1,weather_condition,Mild (5-20C),3251,23.0426,21.4215,0.0757,+7.6%,False
lightgbm,1,weather_condition,Hot (>= 20C),121,16.7205,21.4215,-0.2195,-21.9%,True
lightgbm,1,weather_condition,Windy (>= 10 m/s),3428,20.8691,21.4215,-0.0258,-2.6%,False
lightgbm,1,weather_condition,Calm (< 10 m/s),940,23.4361,21.4215,0.094,+9.4%,False
lightgbm,1,weather_condition,Overcast (>= 75%),2592,22.921,21.4215,0.07,+7.0%,False
lightgbm,1,weather_condition,Clear (< 25%),1147,18.4498,21.4215,-0.1387,-13.9%,False
