feature,importance
carbon_intensity_gco2_per_kwh_mean_4h,0.39662838
carbon_intensity_gco2_per_kwh_min_4h,0.21595913
clean_energy_score,0.1607657
carbon_intensity_gco2_per_kwh_min_24h,0.027685856
carbon_intensity_gco2_per_kwh_max_4h,0.023484325
carbon_free_energy_pct,0.022440445
carbon_intensity_gco2_per_kwh_mean_24h,0.020691458
carbon_intensity_gco2_per_kwh_max_12h,0.011160919
carbon_intensity_gco2_per_kwh_max_24h,0.009523875
total_load_mw_mean_12h,0.0064228172
carbon_intensity_gco2_per_kwh_min_12h,0.005425512
hour_sin,0.0053160554
is_daytime,0.0046676407
total_load_mw_min_4h,0.004458186
hour_cos,0.003996762
carbon_change_1h,0.0037520975
hour_of_day,0.0036006412
carbon_intensity_fossil_gco2_per_kwh,0.003535858
carbon_intensity_gco2_per_kwh_lag_1h,0.0028767965
carbon_intensity_gco2_per_kwh_lag_168h,0.002856144
net_load_mw,0.0028265836
renewable_energy_pct,0.0025752853
carbon_intensity_gco2_per_kwh_std_4h,0.002548092
carbon_intensity_gco2_per_kwh_std_12h,0.0025419153
total_load_mw,0.0022681945
carbon_intensity_gco2_per_kwh_lag_6h,0.0022550777
total_load_mw_std_4h,0.0022267108
carbon_intensity_gco2_per_kwh_lag_3h,0.0020623729
total_load_mw_lag_1h,0.0020354441
total_load_mw_min_12h,0.0019715335
total_load_mw_mean_4h,0.0019493232
carbon_intensity_gco2_per_kwh_lag_24h,0.001843115
temperature_2m_c_max_4h,0.0017905162
total_load_mw_lag_24h,0.0015231845
total_load_mw_std_24h,0.0014414602
total_load_mw_lag_3h,0.0014231361
total_load_mw_lag_6h,0.0013970013
total_load_mw_max_4h,0.00139544
carbon_intensity_gco2_per_kwh_std_24h,0.0013559243
carbon_intensity_gco2_per_kwh_mean_12h,0.0013022007
shortwave_radiation_wm2,0.0011925523
total_load_mw_std_12h,0.001122151
total_load_mw_lag_168h,0.0011087325
load_variability,0.0010374828
total_load_mw_min_24h,0.000939494
total_load_mw_mean_24h,0.0008319198
temperature_2m_c_min_4h,0.0007392604
total_load_mw_max_24h,0.0006989498
month_sin,0.0006957326
total_load_mw_max_12h,0.0006901268
solar_potential,0.0006748221
temperature_2m_c_mean_4h,0.00063426164
day_of_year,0.0006235803
temperature_2m_c_std_12h,0.0006223942
temperature_2m_c_lag_1h,0.0006223803
week_of_year,0.00061001617
temperature_2m_c_lag_3h,0.0005959737
month_cos,0.00059069437
year,0.00054796826
temperature_2m_c_max_12h,0.0005459463
temperature_2m_c_lag_168h,0.00054108264
temperature_2m_c_mean_12h,0.00053548417
temperature_2m_c,0.0005053541
temperature_2m_c_lag_6h,0.0004934912
is_weekend,0.000491274
temp_demand_proxy,0.00047716344
temperature_2m_c_min_12h,0.00046952796
temperature_2m_c_lag_24h,0.0004630104
temperature_2m_c_std_4h,0.00044649208
temperature_2m_c_min_24h,0.00041199112
wind_speed_100m_ms_lag_1h,0.00038803113
temperature_2m_c_max_24h,0.0003814596
temperature_2m_c_mean_24h,0.00037673896
wind_speed_100m_ms,0.00035997696
wind_speed_100m_ms_lag_24h,0.00035237195
wind_speed_100m_ms_lag_168h,0.00034797247
wind_speed_100m_ms_lag_3h,0.00034549928
wind_speed_100m_ms_lag_6h,0.00034085347
rain_mm,0.00033707987
temperature_2m_c_std_24h,0.00032856426
day_of_week,0.0003239784
month,0.0003221914
snowfall_cm,0.00031378694
weather_code,0.0003064163
cloud_cover_pct,0.0002781704
day_of_month,0.00026547172
quarter,0.0002604359
dow_sin,0.00021991506
dow_cos,0.00021077276
zone_US-MIDA-PJM,0.0
zone_US-NW-PACW,0.0
