feature,importance
hour_cos,690
carbon_change_1h,680
hour_of_day,635
hour_sin,559
carbon_intensity_fossil_gco2_per_kwh,420
carbon_intensity_gco2_per_kwh_std_4h,387
year,349
total_load_mw_std_4h,349
carbon_intensity_gco2_per_kwh_std_24h,344
carbon_intensity_gco2_per_kwh_min_12h,317
carbon_intensity_gco2_per_kwh_lag_24h,312
carbon_intensity_gco2_per_kwh_max_24h,310
day_of_year,296
carbon_intensity_gco2_per_kwh_mean_24h,280
total_load_mw_min_24h,268
carbon_intensity_gco2_per_kwh_std_12h,256
carbon_intensity_gco2_per_kwh_lag_168h,252
carbon_intensity_gco2_per_kwh_lag_6h,248
carbon_intensity_gco2_per_kwh_min_24h,243
carbon_free_energy_pct,231
total_load_mw_max_12h,217
net_load_mw,213
temperature_2m_c_std_24h,212
total_load_mw_std_12h,211
total_load_mw_lag_6h,207
load_variability,206
temperature_2m_c_min_24h,204
carbon_intensity_gco2_per_kwh_min_4h,203
total_load_mw_lag_24h,203
total_load_mw_lag_168h,189
carbon_intensity_gco2_per_kwh_max_12h,189
total_load_mw_mean_24h,186
total_load_mw_max_24h,182
carbon_intensity_gco2_per_kwh_lag_3h,182
total_load_mw_min_12h,169
day_of_month,169
wind_speed_100m_ms_lag_24h,163
clean_energy_score,161
total_load_mw_lag_3h,157
carbon_intensity_gco2_per_kwh_lag_1h,151
wind_speed_100m_ms_lag_6h,148
temperature_2m_c_mean_24h,137
wind_speed_100m_ms_lag_168h,136
total_load_mw_lag_1h,130
week_of_year,127
total_load_mw,120
temp_demand_proxy,117
total_load_mw_min_4h,116
temperature_2m_c_max_24h,116
carbon_intensity_gco2_per_kwh_mean_12h,112
temperature_2m_c_std_12h,112
temperature_2m_c_lag_168h,111
renewable_energy_pct,106
temperature_2m_c_lag_24h,104
wind_speed_100m_ms_lag_1h,104
total_load_mw_mean_12h,104
shortwave_radiation_wm2,100
carbon_intensity_gco2_per_kwh_mean_4h,99
wind_speed_100m_ms,97
total_load_mw_max_4h,96
cloud_cover_pct,94
day_of_week,94
temperature_2m_c_min_12h,93
temperature_2m_c_max_12h,90
temperature_2m_c_std_4h,85
total_load_mw_std_24h,82
month_cos,79
wind_speed_100m_ms_lag_3h,77
carbon_intensity_gco2_per_kwh_max_4h,76
temperature_2m_c,73
dow_sin,73
month_sin,68
total_load_mw_mean_4h,66
temperature_2m_c_mean_12h,65
temperature_2m_c_lag_6h,65
dow_cos,47
rain_mm,40
temperature_2m_c_min_4h,36
temperature_2m_c_lag_3h,32
solar_potential,31
temperature_2m_c_mean_4h,26
temperature_2m_c_lag_1h,26
is_daytime,26
temperature_2m_c_max_4h,25
weather_code,24
month,11
snowfall_cm,3
is_weekend,1
quarter,0
zone_US-MIDA-PJM,0
zone_US-NW-PACW,0
