feature,importance
carbon_change_1h,835
hour_cos,647
hour_of_day,642
hour_sin,595
carbon_intensity_fossil_gco2_per_kwh,533
carbon_intensity_gco2_per_kwh_std_4h,474
total_load_mw_std_4h,395
carbon_free_energy_pct,323
total_load_mw_lag_1h,297
carbon_intensity_gco2_per_kwh_lag_24h,296
carbon_intensity_gco2_per_kwh_lag_3h,295
net_load_mw,285
carbon_intensity_gco2_per_kwh_mean_24h,273
carbon_intensity_gco2_per_kwh_lag_6h,269
carbon_intensity_gco2_per_kwh_std_12h,260
total_load_mw_lag_3h,255
total_load_mw,250
carbon_intensity_gco2_per_kwh_std_24h,250
total_load_mw_lag_24h,250
carbon_intensity_gco2_per_kwh_lag_168h,244
day_of_year,227
total_load_mw_lag_6h,224
carbon_intensity_gco2_per_kwh_min_4h,213
total_load_mw_min_24h,211
temperature_2m_c_std_24h,208
carbon_intensity_gco2_per_kwh_lag_1h,204
carbon_intensity_gco2_per_kwh_min_24h,202
total_load_mw_std_12h,195
temperature_2m_c_max_24h,193
carbon_intensity_gco2_per_kwh_max_24h,188
shortwave_radiation_wm2,184
clean_energy_score,183
total_load_mw_min_12h,170
total_load_mw_lag_168h,168
total_load_mw_max_24h,163
carbon_intensity_gco2_per_kwh_min_12h,151
temperature_2m_c_lag_168h,146
temperature_2m_c_lag_24h,142
carbon_intensity_gco2_per_kwh_max_12h,140
total_load_mw_min_4h,138
load_variability,134
wind_speed_100m_ms_lag_6h,132
temp_demand_proxy,131
renewable_energy_pct,124
wind_speed_100m_ms_lag_168h,122
total_load_mw_max_12h,121
wind_speed_100m_ms_lag_24h,119
total_load_mw_mean_24h,112
day_of_month,109
carbon_intensity_gco2_per_kwh_mean_12h,106
carbon_intensity_gco2_per_kwh_max_4h,103
total_load_mw_max_4h,101
temperature_2m_c_min_24h,99
total_load_mw_mean_12h,98
temperature_2m_c_mean_24h,96
wind_speed_100m_ms_lag_3h,95
temperature_2m_c_std_12h,95
carbon_intensity_gco2_per_kwh_mean_4h,93
temperature_2m_c_lag_6h,91
day_of_week,87
cloud_cover_pct,87
temperature_2m_c_std_4h,86
wind_speed_100m_ms,82
year,80
wind_speed_100m_ms_lag_1h,79
month_sin,73
temperature_2m_c_min_12h,73
total_load_mw_mean_4h,73
week_of_year,72
temperature_2m_c,65
dow_sin,55
solar_potential,54
temperature_2m_c_max_12h,53
temperature_2m_c_max_4h,50
temperature_2m_c_lag_1h,48
temperature_2m_c_lag_3h,48
is_daytime,44
total_load_mw_std_24h,38
temperature_2m_c_mean_12h,36
temperature_2m_c_mean_4h,36
temperature_2m_c_min_4h,33
dow_cos,31
month_cos,28
weather_code,24
snowfall_cm,22
rain_mm,15
month,6
is_weekend,3
quarter,0
zone_US-MIDA-PJM,0
zone_US-NW-PACW,0
