mae,rmse,r2,mape,model,horizon
26.9261,35.0864,0.8923,9.4802,XGBoost (1h),1
36.3712,47.6897,0.8015,13.1799,XGBoost (6h),6
40.8555,53.3173,0.7525,15.108,XGBoost (12h),12
42.6068,55.9887,0.7279,16.184,XGBoost (24h),24
