feature,importance
carbon_change_1h,1345
hour_of_day,827
hour_cos,796
carbon_intensity_fossil_gco2_per_kwh,793
hour_sin,699
total_load_mw_std_4h,587
carbon_free_energy_pct,581
carbon_intensity_gco2_per_kwh_std_4h,509
carbon_intensity_gco2_per_kwh_lag_6h,440
carbon_intensity_gco2_per_kwh_lag_3h,427
total_load_mw_lag_6h,419
total_load_mw,414
total_load_mw_lag_1h,363
total_load_mw_lag_3h,351
net_load_mw,346
carbon_intensity_gco2_per_kwh_lag_1h,343
carbon_intensity_gco2_per_kwh_lag_24h,342
total_load_mw_lag_24h,318
carbon_intensity_gco2_per_kwh_std_12h,310
clean_energy_score,289
carbon_intensity_gco2_per_kwh_lag_168h,287
carbon_intensity_gco2_per_kwh_max_4h,262
total_load_mw_lag_168h,242
renewable_energy_pct,233
carbon_intensity_gco2_per_kwh_min_4h,231
carbon_intensity_gco2_per_kwh_mean_4h,216
total_load_mw_std_12h,156
carbon_intensity_gco2_per_kwh_std_24h,140
total_load_mw_max_4h,139
total_load_mw_min_24h,135
load_variability,128
carbon_intensity_gco2_per_kwh_min_12h,119
carbon_intensity_gco2_per_kwh_mean_12h,111
carbon_intensity_gco2_per_kwh_max_12h,110
total_load_mw_min_4h,101
carbon_intensity_gco2_per_kwh_max_24h,99
carbon_intensity_gco2_per_kwh_min_24h,88
total_load_mw_min_12h,83
total_load_mw_mean_4h,76
shortwave_radiation_wm2,67
wind_speed_100m_ms_lag_168h,67
carbon_intensity_gco2_per_kwh_mean_24h,61
temp_demand_proxy,60
temperature_2m_c_std_12h,57
temperature_2m_c_lag_6h,56
total_load_mw_mean_12h,54
day_of_year,54
temperature_2m_c_std_4h,53
temperature_2m_c_std_24h,49
total_load_mw_max_12h,48
wind_speed_100m_ms,46
total_load_mw_std_24h,44
wind_speed_100m_ms_lag_6h,44
temperature_2m_c_lag_24h,41
wind_speed_100m_ms_lag_24h,39
wind_speed_100m_ms_lag_1h,39
temperature_2m_c_lag_168h,38
wind_speed_100m_ms_lag_3h,36
temperature_2m_c_lag_1h,35
is_daytime,34
year,34
temperature_2m_c_min_12h,34
total_load_mw_mean_24h,31
month_sin,29
temperature_2m_c,28
temperature_2m_c_mean_24h,27
temperature_2m_c_min_24h,26
day_of_month,25
temperature_2m_c_max_12h,21
temperature_2m_c_lag_3h,20
temperature_2m_c_max_4h,20
total_load_mw_max_24h,20
day_of_week,19
cloud_cover_pct,18
temperature_2m_c_mean_12h,17
temperature_2m_c_max_24h,15
solar_potential,14
week_of_year,14
temperature_2m_c_mean_4h,11
temperature_2m_c_min_4h,10
rain_mm,9
month_cos,8
dow_cos,4
dow_sin,3
weather_code,2
snowfall_cm,2
quarter,0
month,0
is_weekend,0
zone_US-MIDA-PJM,0
zone_US-NW-PACW,0
