mae,rmse,r2,mape,model,horizon
22.4435,30.6826,0.9176,8.2557,XGBoost Tuned (1h),1
31.0365,42.3757,0.8432,11.5946,XGBoost Tuned (6h),6
36.6579,49.7296,0.7847,13.8246,XGBoost Tuned (12h),12
40.2456,53.9952,0.747,15.1683,XGBoost Tuned (24h),24
