feature,importance
carbon_intensity_gco2_per_kwh_mean_24h,0.44435066
carbon_intensity_gco2_per_kwh_mean_12h,0.18335333
carbon_intensity_gco2_per_kwh_min_12h,0.08763744
carbon_intensity_gco2_per_kwh_max_24h,0.053889353
is_daytime,0.013504045
carbon_intensity_gco2_per_kwh_min_4h,0.012029535
hour_sin,0.008569123
total_load_mw_mean_24h,0.008161804
clean_energy_score,0.0069463854
year,0.0057386137
hour_cos,0.005707803
hour_of_day,0.0056949803
month_cos,0.005120339
carbon_intensity_gco2_per_kwh_max_12h,0.0048612608
total_load_mw_min_24h,0.004526423
carbon_free_energy_pct,0.004368955
carbon_intensity_gco2_per_kwh_min_24h,0.0042257546
total_load_mw_min_12h,0.0037596135
total_load_mw_max_12h,0.003737266
total_load_mw_std_4h,0.0037199955
total_load_mw_mean_12h,0.0034835397
total_load_mw_max_4h,0.0034674632
month,0.0033712334
carbon_change_1h,0.0032944866
total_load_mw_mean_4h,0.0032002516
total_load_mw_min_4h,0.002971075
total_load_mw_std_12h,0.0029289029
carbon_intensity_gco2_per_kwh_std_4h,0.0028345513
total_load_mw_std_24h,0.0027902601
carbon_intensity_gco2_per_kwh_lag_168h,0.0027671622
week_of_year,0.0027646197
month_sin,0.0027457858
renewable_energy_pct,0.002604081
total_load_mw_max_24h,0.002502657
carbon_intensity_gco2_per_kwh_lag_24h,0.00245791
carbon_intensity_gco2_per_kwh_std_24h,0.0024273875
temperature_2m_c_min_24h,0.0023585877
carbon_intensity_gco2_per_kwh_max_4h,0.0022850393
temperature_2m_c_max_4h,0.002200751
day_of_year,0.0021870586
carbon_intensity_fossil_gco2_per_kwh,0.0021217873
carbon_intensity_gco2_per_kwh_lag_3h,0.0021026004
shortwave_radiation_wm2,0.0021024942
total_load_mw,0.0020070807
net_load_mw,0.0019956783
carbon_intensity_gco2_per_kwh_lag_6h,0.0019888885
carbon_intensity_gco2_per_kwh_mean_4h,0.0018952211
temperature_2m_c_mean_12h,0.0018847559
temperature_2m_c_mean_24h,0.0018646073
temperature_2m_c_max_24h,0.0018552683
dow_sin,0.0018393486
total_load_mw_lag_6h,0.001794635
temperature_2m_c_min_4h,0.0017874049
carbon_intensity_gco2_per_kwh_std_12h,0.0017608781
dow_cos,0.001748837
wind_speed_100m_ms_lag_3h,0.0017266874
temperature_2m_c_std_24h,0.0017006564
load_variability,0.0016880564
wind_speed_100m_ms_lag_6h,0.0016793164
day_of_week,0.0016299569
temperature_2m_c_lag_24h,0.0016270638
carbon_intensity_gco2_per_kwh_lag_1h,0.0016134061
temperature_2m_c,0.0016123023
total_load_mw_lag_1h,0.0016033298
weather_code,0.0015581369
temperature_2m_c_min_12h,0.0015500967
rain_mm,0.001512802
total_load_mw_lag_168h,0.0015010596
temp_demand_proxy,0.0014884754
wind_speed_100m_ms_lag_24h,0.0014518724
wind_speed_100m_ms_lag_1h,0.0014352556
total_load_mw_lag_3h,0.001423806
total_load_mw_lag_24h,0.0014152214
temperature_2m_c_max_12h,0.0013972882
temperature_2m_c_mean_4h,0.0013947093
solar_potential,0.0013831295
day_of_month,0.0013803414
temperature_2m_c_std_12h,0.0013329023
cloud_cover_pct,0.0012960428
temperature_2m_c_lag_6h,0.0012697672
temperature_2m_c_lag_168h,0.00124989
temperature_2m_c_lag_1h,0.001156406
wind_speed_100m_ms,0.0011511791
wind_speed_100m_ms_lag_168h,0.0011159562
temperature_2m_c_lag_3h,0.0010484036
snowfall_cm,0.00088991056
temperature_2m_c_std_4h,0.0008717784
is_weekend,0.00053760654
quarter,1.2189212e-05
zone_US-MIDA-PJM,0.0
zone_US-NW-PACW,0.0
