feature,importance
carbon_intensity_gco2_per_kwh_mean_24h,0.508914
carbon_intensity_gco2_per_kwh_min_4h,0.17583647
carbon_intensity_gco2_per_kwh_mean_4h,0.05527442
carbon_intensity_gco2_per_kwh_min_24h,0.019355247
carbon_intensity_gco2_per_kwh_max_24h,0.018307656
clean_energy_score,0.018042976
is_daytime,0.012927301
carbon_free_energy_pct,0.012673862
total_load_mw_mean_24h,0.008524075
shortwave_radiation_wm2,0.008089564
hour_cos,0.007785428
hour_of_day,0.005349828
year,0.0050424626
carbon_intensity_gco2_per_kwh_min_12h,0.004986853
hour_sin,0.004908674
carbon_intensity_gco2_per_kwh_max_4h,0.004850097
quarter,0.004446921
carbon_change_1h,0.0040249694
total_load_mw_min_4h,0.0034632438
renewable_energy_pct,0.0032433618
carbon_intensity_gco2_per_kwh_std_4h,0.0031302571
carbon_intensity_gco2_per_kwh_lag_168h,0.0031167
total_load_mw_min_24h,0.003050875
total_load_mw_std_4h,0.0028410098
month,0.002748853
net_load_mw,0.002564652
total_load_mw_min_12h,0.0025639934
month_cos,0.002462556
temp_demand_proxy,0.0024492962
total_load_mw_mean_12h,0.0023737939
total_load_mw,0.0023686618
month_sin,0.0022727342
carbon_intensity_fossil_gco2_per_kwh,0.0022158811
carbon_intensity_gco2_per_kwh_std_24h,0.002189744
temperature_2m_c_lag_24h,0.0021810755
carbon_intensity_gco2_per_kwh_lag_3h,0.0020188708
carbon_intensity_gco2_per_kwh_lag_1h,0.001998803
total_load_mw_lag_168h,0.0019778856
carbon_intensity_gco2_per_kwh_lag_24h,0.0019692802
total_load_mw_std_12h,0.0019436076
carbon_intensity_gco2_per_kwh_lag_6h,0.0019151694
week_of_year,0.001910702
total_load_mw_max_24h,0.001892221
total_load_mw_lag_1h,0.0018230255
total_load_mw_lag_24h,0.0018157769
day_of_year,0.0017679703
total_load_mw_lag_6h,0.0017157029
temperature_2m_c_max_4h,0.0017112853
total_load_mw_std_24h,0.0016955311
total_load_mw_lag_3h,0.0016829909
total_load_mw_mean_4h,0.0016574878
total_load_mw_max_4h,0.0016242397
temperature_2m_c_min_24h,0.0015839888
total_load_mw_max_12h,0.0015758568
carbon_intensity_gco2_per_kwh_max_12h,0.0015606354
temperature_2m_c_max_12h,0.0015587591
temperature_2m_c_mean_4h,0.0015482645
carbon_intensity_gco2_per_kwh_mean_12h,0.0015169393
carbon_intensity_gco2_per_kwh_std_12h,0.0014885737
temperature_2m_c_min_4h,0.0014804094
temperature_2m_c_mean_12h,0.0014685726
dow_cos,0.0014652777
temperature_2m_c,0.0014259866
load_variability,0.0013959602
temperature_2m_c_min_12h,0.0013885616
temperature_2m_c_lag_3h,0.0013623285
cloud_cover_pct,0.0012755867
temperature_2m_c_lag_6h,0.0012690746
temperature_2m_c_max_24h,0.0012586071
temperature_2m_c_mean_24h,0.001232127
solar_potential,0.0012239454
day_of_week,0.0011965816
weather_code,0.0011755743
temperature_2m_c_std_24h,0.0011654595
dow_sin,0.0011148156
wind_speed_100m_ms_lag_6h,0.0010784642
temperature_2m_c_std_12h,0.0010572359
temperature_2m_c_lag_168h,0.0010489811
wind_speed_100m_ms,0.0010328307
wind_speed_100m_ms_lag_24h,0.0010219688
temperature_2m_c_lag_1h,0.0009795293
day_of_month,0.0009782389
temperature_2m_c_std_4h,0.00092608365
wind_speed_100m_ms_lag_1h,0.00092445564
rain_mm,0.0009000233
wind_speed_100m_ms_lag_168h,0.0007832995
wind_speed_100m_ms_lag_3h,0.00075250596
snowfall_cm,0.00066912494
is_weekend,0.00041735265
zone_US-MIDA-PJM,0.0
zone_US-NW-PACW,0.0
