mae,rmse,r2,mape,model,horizon
25.9637,34.0967,0.8983,9.1217,LightGBM (1h),1
35.5831,46.944,0.8076,12.9808,LightGBM (6h),6
40.0421,52.4504,0.7605,14.8225,LightGBM (12h),12
43.7627,57.9106,0.7089,16.6507,LightGBM (24h),24
