horizon,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda
6,1465,10,0.07319036091699209,0.5018203726540555,0.5225230855336822,10,0.06908149862039192,3.746767969613729
12,1465,10,0.07319036091699209,0.5018203726540555,0.5225230855336822,10,0.06908149862039192,3.746767969613729
24,1138,10,0.05423197245433304,0.7307024197434439,0.5065701578589044,7,0.9241305190833341,3.601946204241907
