season,count,mean,std,min,median,max,missing_pct
Fall,13104,329.59,95.27,79,328.0,655,0.0
Spring,13248,255.5,140.99,21,280.0,584,0.0
Summer,13248,305.81,147.57,28,321.0,647,0.0
Winter,13008,321.1,113.22,53,317.0,668,0.0
