slice_value,count,percentage,expected_pct,deviation_pct,is_underrepresented,is_overrepresented
High,14855,28.24,20.0,41.2,False,False
Low,8963,17.04,20.0,-14.8,False,False
Medium,11463,21.79,20.0,8.95,False,False
Very High,13295,25.27,20.0,26.35,False,False
Very Low,4032,7.66,20.0,-61.7,True,False
