carbon_intensity_bucket,count,mean,std,min,median,max,missing_pct
High,14855,349.16,28.47,301,348.0,400,0.0
Low,8963,158.9,26.61,101,161.0,200,0.0
Medium,11463,251.1,30.13,201,251.0,300,0.0
Very High,13295,464.38,47.64,401,455.0,668,0.0
Very Low,4032,66.66,21.63,21,66.0,100,0.0
